keyword,c1,c2,c3,c4,c5,c6,c7,c8,cluster_product_name,item_count,min_price,median_price,average_price,max_price,sample_tokenized_names,sample_normalized_names,sample_original_names
갤럭시,갤럭시a16,라이트그린,무,잔상,,,,,갤럭시a16 라이트그린 무 잔상,145,165000,165000.0,165000.0,165000,갤럭시a16 라이트그린 무 잔상,갤럭시a16라이트그린 무잔상,"갤럭시A16라이트그린,무잔상(3337)"
갤럭시,갤럭시a33,블랙,,,,,,,갤럭시a33 블랙,143,127000,132000.0,131580.41958041958,132000,갤럭시a33 블랙,갤럭시a33블랙,갤럭시A33블랙(6380)
갤럭시,갤럭시버디4,블랙,a,플러스,급,무,잔상,,갤럭시버디4 블랙 a 플러스 급 무 잔상,132,165000,165000.0,165000.0,165000,갤럭시버디4 블랙 a 플러스 급 무 잔상,갤럭시버디4블랙a 플러스 급 무잔상,"갤럭시버디4블랙A+급,무잔상(5139)"
갤럭시,갤럭시s22,핑크,무잔상,,,,,,갤럭시s22 핑크 무잔상,131,245000,245000.0,245000.0,245000,갤럭시s22 핑크 무잔상,갤럭시s22핑크무잔상,갤럭시S22핑크무잔상(3663)
갤럭시,갤럭시노트8,블루,무,잔상,께끗,,,,갤럭시노트8 블루 무 잔상 께끗,130,105000,105000.0,105000.0,105000,갤럭시노트8 블루 무 잔상 께끗,갤럭시노트8블루 무잔상 께끗,"갤럭시노트8블루,무잔상,께끗(1925)"
갤럭시,갤럭시a33블루,a,플러스,급,무,잔상,,,갤럭시a33블루 a 플러스 급 무 잔상,127,135000,135000.0,135000.0,135000,갤럭시a33블루 a 플러스 급 무 잔상,갤럭시a33블루a 플러스 급 무잔상,"갤럭시A33블루A+급,무잔상(7818)"
갤럭시,갤럭시a51,블랙,무,잔상,,,,,갤럭시a51 블랙 무 잔상,122,109000,109000.0,109000.0,109000,갤럭시a51 블랙 무 잔상,갤럭시a51블랙 무잔상,"갤럭시A51블랙,무잔상(7741)"
갤럭시,갤럭시a33,블루,,,,,,,갤럭시a33 블루,121,120000,120000.0,120000.0,120000,갤럭시a33 블루,갤럭시a33블루,갤럭시A33블루(1553)
갤럭시,갤럭시,s8오키드그레이,무,잔상,,,,,갤럭시 s8오키드그레이 무 잔상,75,95000,95000.0,95000.0,95000,갤럭시 s8오키드그레이 무 잔상,갤럭시s8오키드그레이 무잔상,갤럭시S8오키드그레이.무잔상(8898)
갤럭시,갤럭시노트20,미스틱,그레이,무,잔상,,,,갤럭시노트20 미스틱 그레이 무 잔상,74,179000,179000.0,179000.0,179000,갤럭시노트20 미스틱 그레이 무 잔상,갤럭시노트20미스틱그레이 무잔상,"갤럭시노트20미스틱그레이,무잔상(0820)"
