keyword,split_tokens,split_tokens_count,name
게이밍 노트북,미개봉,101,[미개봉]HP 15인치 게이밍노트북 오멘(240/5060/램24/1TB)
게이밍 노트북,미개봉,101,[미개봉]에이서 프레데터 헬리오스 네오 16 AI 5070 게이밍노트북
게이밍 노트북,미개봉,101,[미개봉]기가바이트 어로스 MASTER 18 RTX5090 게이밍 노트북
게이밍 노트북,매입,9,[매입]미개봉 LG그램 갤럭시북 맥북 기업용 대량매입 게이밍 노트북
게이밍 노트북,단순개봉,10,[단순개봉]ASUS 비보북 V16 RTX4050  게이밍노트북 판매
게이밍 노트북,매입,9,[매입]갤럭시북프로 360 맥북 PC 게이밍노트북 24시간 출장방문매입
게이밍 노트북,최저가,75,[최저가]HP 16인치 게이밍노트북 오멘(7840HS/4060/1TB)
게이밍 노트북,매입,9,[매입]미개봉 LG그램 갤럭시북 맥북 기업용 대량매입 게이밍 노트북
게이밍 노트북,매입,9,[매입]ASUS 델 그램 게이밍노트북 미개봉 중고 기업용 대량 출장매입
게이밍 노트북,매입,9,[매입]미개봉 LG그램 갤럭시북 맥북 기업용 대량매입 게이밍 노트북
게이밍 노트북,15인치,2,[15인치] RTX5060 HP OMEN 영상편집 게이밍 노트북
게이밍 노트북,매입,9,[매입]게이밍노트북 맥북프로 맥북에어 M4 M3 미개봉최고가매입
게이밍 노트북,16인치,2,[16인치] RTX5060 ASUS 영상편집 게이밍 노트북
게이밍 노트북,최저가,75,[최저가]HP 16인치 게이밍노트북 오멘(6800H/3070Ti/1TB)
게이밍 노트북,미개봉,101,[미개봉]HP OMEM MAX 16 5070Ti 게이밍노트북 판매합니다
게이밍 노트북,대여,8,[대여]게이밍노트북 가성비형 RTX2060 1일 단기 렌탈 임대 빌리
게이밍 노트북,사은품+무료배송,1,[사은품+무료배송]게이밍 PC 철제 노트북 컴퓨터 데스크탑 테이블 책상
게이밍 노트북,풀박스,7,[풀박스] HP 빅터스 16 코어i7 RTX3060 16GB 노트북
게이밍 노트북,미개봉,101,[미개봉] 사이보그 게이밍노트북 (RTX4060)
게이밍 노트북,최저가,75,[최저가]HP 16인치 게이밍노트북 오멘(7840HS/4060/1TB)
게이밍 노트북,최저가,75,[최저가]Razer 14인치 게이밍노트북(6900HX/3070Ti/1TB
게이밍 노트북,대여,8,[대여]게이밍노트북 게이밍형 RTX3050 1일 단기 렌탈 임대 빌리
게이밍 노트북,최저가,75,[최저가]기가바이트 15인치 게이밍노트북(i9-10/3080/풀업글/4k
게이밍 노트북,최저가,75,[최저가]HP 16인치 게이밍노트북 오멘(i5-13/4060/QHD)
게이밍 노트북,최저가,75,[최저가]에이서 16인치 게이밍노트북 니트로(8845HS/4060/1TB
게이밍 노트북,미개봉,101,[미개봉] HP OMEN 16인치 (16-am0147TX) 게이밍노트북
게이밍 노트북,최저가,75,[최저가]HP 16인치 게이밍노트북 오멘(7840HS/4060/QHD)
