platform,missing_token,fail_count,top_fail_keywords,sample_titles
번개장터,갤럭시,260,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,z플립3 256기가 핑크 | 삼성 S21 256gb 라벤더퍼플 A급 | 삼성 S22 256gb 핑크색상 A급
번개장터,세이코,237,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,alba seiko watch | [민트급] 70s Swiss Mirexal 하이비트 수퍼오토메틱 | 티쏘 꾸뜨리에 디지털 가죽/메탈 시계 풀박스
번개장터,스텔라이브,155,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,"교환/판매글) 무신사 유니, 마시로 / 무신사 린 포카 구합니다 | 텐코시부키 아티산 키캡 팝니다. | 아이리칸나 2023 썸머 아크릴키링 미개봉 팝니다."
번개장터,y700,98,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,보증O) FSP Hydro Pro 700W ATX3.0 민트급 파워 | 예스뷰티 YB-2700 나이아가라 고데기 | 라이젠7 5700x3d + main + memory 팝니다
번개장터,a7c,93,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,소니 a7c2 박스풀 민트급 판매해요 A7C2 | 삼성 큐커 오븐 MO22A7797CW2 미개봉 | 삼성 비스포크 큐커 MO22A7797CW2 미개봉 화이트
번개장터,ps5,79,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,지포어 [G/FORE] 아노락 3PS 5부팬츠 세트 | MOGA XPS5+ 엑스박스 게임 컨트롤러 풀박스 2개 | 더 뉴 쏘렌토 MQ4 오무기어(웜기어) MDPS 57700 P2500
번개장터,만년필,68,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,마레플로스 오프라인 한정 수제 한정 메시지 카드 삽니당!! | 미도리 MD 만년다이어리 (2일 1페이지) | 캘리그라피 bechori작가의 책
번개장터,골드바,63,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,2000개 한정판) 캄보디아 호랑이 은화 1온스 | 한정판 스와로브스키 보석 나비은화 1온스 | 한정판 캐나다조폐국 터기석 삽입 은화 1온스 99.99 포나인
번개장터,2,50,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,925 실버 ] Pandora 796599cz 판도라 핑크 보라 글라스 | a7cr 판매합니다. (직거래 245만원) | NEC NP-PA722X / PA622X / PA653U / PA703W
번개장터,바이씨니,49,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,멜라운지 요루 리본 블라우스:) | 바이플로우 레이스 캉캉 원피스:) | 위아 트위드자켓
번개장터,5090,37,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,"새재품 게이밍 PC 라이젠7 9800X3D RTX 5070Ti | 9800x3d, b850m wifi, rtx 5070ti 고사양 본체 | 9800x3d, b850m wifi, rtx 5080 화이트 초고사양pc"
번개장터,맥스튜디오,26,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,24년 # nmax125cc # 오디오차 # 튜닝차 # 상태좋습니다 | 스튜디오 지브리 마녀배달부 키키 IMAX 포스터 | 아이맥을 5K모니터로 개조해 드려요
번개장터,게이밍,18,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,"MSI 스워드 GF76 RTX 4060 블랙 17.3인치 | 삼성 노트북 판매(전원선 포함) | 새상품 파나소닉 터프북CF-33태블릿 노트북 판매합니다. 교환,교신가능"
번개장터,노트북,8,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,MSI 스워드 GF76 RTX 4060 블랙 17.3인치 | ASUS 젠북 S 14 OLED 코어Ultra732GB 1TB | 실사용 3회 / 기가바이트 AERO 17 HDR XD /  i7 RTX3
번개장터,센티넬,8,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,[미개봉] RIOBOT 1/12 모스피다 VR-038L 바틀리 후케기 | 아크테릭스 빕 Sentinel LT Bib Womens XS | 태드기어 100  자켓  TAD Sentinel Field Jacket
번개장터,맥미니,4,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,"(Apple) 미개봉 맥 미니 M4 기본형 [Mac mini, 16GB | 맥 미니 M4 16/256 풀구성 | 아카시스 USB 허브 도킹 스테이션 맥 미니 M4 M4 프로 M.2미개봉"
번개장터,붉은사막,4,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,붉은 사막 쿠폰 | 검은사막 특전 쿠폰 구매합니다 | AMD 9070xt용 붉은 사막 코드
번개장터,메탈빌드,3,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,(최종할인) P001 대한항공 태권브이 세트 | METAL BUILD 데스티니 건담 (풀패키지) | 겟타 로고 아크릴 스탠드 판매합니다.
번개장터,안스리움,1,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,알로카시아 플럼배니그라 팔아요
번개장터,제라늄,1,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,에이온라이팅의 향균 식물등 신품을 정리합니다.
번개장터,핫토이,1,갤럭시:260 | 세이코:237 | 스텔라이브:155 | y700:98 | a7c2:96 | ps5:79 | 만년필:68 | 골드바:63 | 바이씨니:49 | 5090:37,Hottoys 아이언맨 MK85
