keyword,item_count,low,high,total_outlier_count,outlier_rate,min_price,median_price,max_price,lower_bound,upper_bound
갤럭시,10414,1458,942,2400,0.23045899750336085,500,159000.0,999999999,31800.0,701625.0
스텔라이브,1868,370,202,572,0.30620985010706636,1,28000.0,999999999,5600.0,160000.0
세이코,1986,149,241,390,0.19637462235649547,168,250000.0,12250000,50000.0,1090000.0
핫토이,1812,260,109,369,0.20364238410596028,100,220000.0,999999999,44000.0,707333.375
만년필,996,158,121,279,0.28012048192771083,100,150000.0,99999999,30000.0,1057500.0
ps5,1018,30,185,215,0.2111984282907662,1,45000.0,90105000,9000.0,264562.5
골드바,526,109,105,214,0.4068441064638783,250,820000.0,999999999,164000.0,1995000.0
던스,1243,71,72,143,0.11504424778761062,1,60000.0,4444444,12000.0,210000.0
게이밍 노트북,885,87,54,141,0.15932203389830507,500,950000.0,9500000,190000.0,3150000.0
메탈빌드,651,60,20,80,0.1228878648233487,1230,327000.0,99999999,65400.0,883750.0
제라늄,799,28,50,78,0.09762202753441802,1111,12345.0,420000,2469.0,50500.0
안스리움,335,46,26,72,0.21492537313432836,6,80000.0,1350000,16000.0,440000.0
5090,309,69,1,70,0.22653721682847897,1,5800000.0,16500000,1160000.0,14042500.0
a7c2,198,67,2,69,0.3484848484848485,193,1800000.0,7950000,360000.0,4950000.0
바이씨니,951,12,48,60,0.06309148264984227,10000,70000.0,999999,14000.0,187500.0
y700,224,31,9,40,0.17857142857142858,7000,351500.0,25500000,70300.0,1043750.0
붉은사막,392,2,31,33,0.08418367346938775,2000,35000.0,3500000,7000.0,110500.0
맥스튜디오,74,27,4,31,0.4189189189189189,1000,1850000.0,20000000,370000.0,9800315.0
센티넬,206,19,10,29,0.1407766990291262,1000,292500.0,99999999,58500.0,932250.0
맥미니 m4,101,6,9,15,0.1485148514851485,1000,1000000.0,5140000,200000.0,2315000.0
