keyword,high,low,total_outlier_count,item_count,min_price,median_price,max_price,lower_bound,upper_bound,outlier_rate
갤럭시,942,1458,2400,10414,500,159000.0,999999999,31800.0,701625.0,0.23045899750336085
스텔라이브,202,370,572,1868,1,28000.0,999999999,5600.0,160000.0,0.30620985010706636
세이코,241,149,390,1986,168,250000.0,12250000,50000.0,1090000.0,0.19637462235649547
핫토이,109,260,369,1812,100,220000.0,999999999,44000.0,707333.375,0.20364238410596028
만년필,121,158,279,996,100,150000.0,99999999,30000.0,1057500.0,0.28012048192771083
ps5,185,30,215,1018,1,45000.0,90105000,9000.0,264562.5,0.2111984282907662
골드바,105,109,214,526,250,820000.0,999999999,164000.0,1995000.0,0.4068441064638783
던스,72,71,143,1243,1,60000.0,4444444,12000.0,210000.0,0.11504424778761062
게이밍 노트북,54,87,141,885,500,950000.0,9500000,190000.0,3150000.0,0.15932203389830507
메탈빌드,20,60,80,651,1230,327000.0,99999999,65400.0,883750.0,0.1228878648233487
제라늄,50,28,78,799,1111,12345.0,420000,2469.0,50500.0,0.09762202753441802
안스리움,26,46,72,335,6,80000.0,1350000,16000.0,440000.0,0.21492537313432836
5090,1,69,70,309,1,5800000.0,16500000,1160000.0,14042500.0,0.22653721682847897
a7c2,2,67,69,198,193,1800000.0,7950000,360000.0,4950000.0,0.3484848484848485
바이씨니,48,12,60,951,10000,70000.0,999999,14000.0,187500.0,0.06309148264984227
y700,9,31,40,224,7000,351500.0,25500000,70300.0,1043750.0,0.17857142857142858
붉은사막,31,2,33,392,2000,35000.0,3500000,7000.0,110500.0,0.08418367346938775
맥스튜디오,4,27,31,74,1000,1850000.0,20000000,370000.0,9800315.0,0.4189189189189189
센티넬,10,19,29,206,1000,292500.0,99999999,58500.0,932250.0,0.1407766990291262
맥미니 m4,9,6,15,101,1000,1000000.0,5140000,200000.0,2315000.0,0.1485148514851485
