keyword,item_count,min_price,q1,median_price,q3,max_price,average_price,iqr,iqr_lower_bound,median_ratio_lower_bound,lower_bound,upper_bound
갤럭시,10414,500,82250.0,159000.0,330000.0,999999999,383417.2883618206,247750.0,0.0,31800.0,31800.0,701625.0
세이코,1986,168,140000.0,250000.0,520000.0,12250000,638542.7542799597,380000.0,0.0,50000.0,50000.0,1090000.0
스텔라이브,1868,1,10000.0,28000.0,70000.0,999999999,5177837.746788008,60000.0,0.0,5600.0,5600.0,160000.0
핫토이,1812,100,111777.75,220000.0,350000.0,999999999,1083884.5259381898,238222.25,0.0,44000.0,44000.0,707333.375
던스,1243,1,35000.0,60000.0,105000.0,4444444,90609.30249396621,70000.0,0.0,12000.0,12000.0,210000.0
ps5,1018,1,23625.0,45000.0,120000.0,90105000,259742.80058939097,96375.0,0.0,9000.0,9000.0,264562.5
만년필,996,100,45000.0,150000.0,450000.0,99999999,931171.796184739,405000.0,0.0,30000.0,30000.0,1057500.0
바이씨니,951,10000,50000.0,70000.0,105000.0,999999,86852.19978969506,55000.0,0.0,14000.0,14000.0,187500.0
게이밍 노트북,885,500,450000.0,950000.0,1530000.0,9500000,1210199.1378531074,1080000.0,0.0,190000.0,190000.0,3150000.0
제라늄,799,1111,8000.0,12345.0,25000.0,420000,21142.09136420526,17000.0,0.0,2469.0,2469.0,50500.0
메탈빌드,651,1230,190000.0,327000.0,467500.0,99999999,1014329.2611367127,277500.0,0.0,65400.0,65400.0,883750.0
골드바,526,250,220000.0,820000.0,930000.0,999999999,6493518.577946768,710000.0,0.0,164000.0,164000.0,1995000.0
붉은사막,392,2000,23000.0,35000.0,58000.0,3500000,120243.48724489796,35000.0,0.0,7000.0,7000.0,110500.0
안스리움,335,6,40000.0,80000.0,200000.0,1350000,148172.9582089552,160000.0,0.0,16000.0,16000.0,440000.0
5090,309,1,3680000.0,5800000.0,7825000.0,16500000,5380150.187702266,4145000.0,0.0,1160000.0,1160000.0,14042500.0
y700,224,7000,150000.0,351500.0,507500.0,25500000,513134.6160714286,357500.0,0.0,70300.0,70300.0,1043750.0
센티넬,206,1000,128500.0,292500.0,450000.0,99999999,839149.927184466,321500.0,0.0,58500.0,58500.0,932250.0
a7c2,198,193,150000.0,1800000.0,2070000.0,7950000,1486469.7878787878,1920000.0,0.0,360000.0,360000.0,4950000.0
맥미니 m4,101,1000,790000.0,1000000.0,1400000.0,5140000,1254029.702970297,610000.0,0.0,200000.0,200000.0,2315000.0
맥스튜디오,74,1000,49790.0,1850000.0,3950000.0,20000000,2595481.6486486485,3900210.0,0.0,370000.0,370000.0,9800315.0
