keyword,platform,pid,name,keyword_tokens,missing_tokens,accuracy_check_pass,accuracy_check_result,label,is_correct_prediction,price,status,link
게이밍 노트북,번개장터,408765604,삼성 노트북 게이밍  i5 GTX1650 477GB 판매,게이밍 | 노트북,,1,pass,,,450000,판매중,https://m.bunjang.co.kr/products/408765604
게이밍 노트북,번개장터,409446999,SPARQ 노트북 본체 GEFORCE 게이밍 노트북 부품용,게이밍 | 노트북,,1,pass,,,89000,판매중,https://m.bunjang.co.kr/products/409446999
게이밍 노트북,번개장터,409248995,삼성 노트북 화이트 Core i5 게이밍,게이밍 | 노트북,,1,pass,,,129000,판매중,https://m.bunjang.co.kr/products/409248995
게이밍 노트북,번개장터,409524108,[미개봉]HP 15인치 게이밍노트북 오멘(240/5060/램24/1TB),게이밍 | 노트북,,1,pass,,,1580000,판매중,https://m.bunjang.co.kr/products/409524108
게이밍 노트북,번개장터,408052382,[미개봉]에이서 프레데터 헬리오스 네오 16 AI 5070 게이밍노트북,게이밍 | 노트북,,1,pass,,,2250000,판매중,https://m.bunjang.co.kr/products/408052382
게이밍 노트북,번개장터,407873982,[미개봉]기가바이트 어로스 MASTER 18 RTX5090 게이밍 노트북,게이밍 | 노트북,,1,pass,,,5480000,판매중,https://m.bunjang.co.kr/products/407873982
게이밍 노트북,번개장터,409520116,최저가]기가바이트 16인치 게이밍노트북 어로스(i7-14/4070/1TB,게이밍 | 노트북,,1,pass,,,1490000,판매중,https://m.bunjang.co.kr/products/409520116
게이밍 노트북,번개장터,407537905,MSI 펄스 17 RTX4070 게이밍 노트북 30일사용,게이밍 | 노트북,,1,pass,,,1900000,판매중,https://m.bunjang.co.kr/products/407537905
게이밍 노트북,번개장터,409518902,[매입]미개봉 LG그램 갤럭시북 맥북 기업용 대량매입 게이밍 노트북,게이밍 | 노트북,,1,pass,,,3000000,판매중,https://m.bunjang.co.kr/products/409518902
게이밍 노트북,번개장터,372107946,노트북매입 LG그램/갤럭시북/게이밍 빠른매입,게이밍 | 노트북,,1,pass,,,232323,판매중,https://m.bunjang.co.kr/products/372107946
게이밍 노트북,번개장터,403778094,[단순개봉]ASUS 비보북 V16 RTX4050  게이밍노트북 판매,게이밍 | 노트북,,1,pass,,,1130000,판매중,https://m.bunjang.co.kr/products/403778094
게이밍 노트북,번개장터,398256989,[매입]갤럭시북프로 360 맥북 PC 게이밍노트북 24시간 출장방문매입,게이밍 | 노트북,,1,pass,,,4850000,판매중,https://m.bunjang.co.kr/products/398256989
게이밍 노트북,번개장터,409516109,[최저가]HP 16인치 게이밍노트북 오멘(7840HS/4060/1TB),게이밍 | 노트북,,1,pass,,,1230000,판매중,https://m.bunjang.co.kr/products/409516109
게이밍 노트북,번개장터,409090751,에이서 니트로 V16 게이밍노트북 14세대 rtx4060판매합니다,게이밍 | 노트북,,1,pass,,,1150000,판매중,https://m.bunjang.co.kr/products/409090751
게이밍 노트북,번개장터,409089867,HP Victus 15 게이밍 노트북 RTX4060 판매합니다,게이밍 | 노트북,,1,pass,,,1150000,판매중,https://m.bunjang.co.kr/products/409089867
게이밍 노트북,번개장터,405332369,레노버 리전5 게이밍노트북 3050ti 판매합니다,게이밍 | 노트북,,1,pass,,,750000,판매중,https://m.bunjang.co.kr/products/405332369
게이밍 노트북,번개장터,404752290,Hp 빅터스 16 게이밍 노트북 판매합니다 RTX4060,게이밍 | 노트북,,1,pass,,,1150000,판매중,https://m.bunjang.co.kr/products/404752290
게이밍 노트북,번개장터,402468420,Msi 카타나17 게이밍 노트북 판매합니다 RTX4060,게이밍 | 노트북,,1,pass,,,1150000,판매중,https://m.bunjang.co.kr/products/402468420
게이밍 노트북,번개장터,403230081,ASUS ROG 게이밍 노트북2020년17인치,게이밍 | 노트북,,1,pass,,,250000,판매중,https://m.bunjang.co.kr/products/403230081
게이밍 노트북,번개장터,398604256,MSI 스워드 GF76 RTX 4060 블랙 17.3인치,게이밍 | 노트북,게이밍 | 노트북,0,fail,,,1390000,판매중,https://m.bunjang.co.kr/products/398604256
