keyword,cluster_id,representative_name,original_representative_name,item_count,min_price,median_price,average_price,max_price,sample_names,original_sample_names
갤럭시,206,갤럭시a16라이트그린 무잔상 3337,"갤럭시A16라이트그린,무잔상(3337)",169,163000,165000.0,164715.97633136096,165000,갤럭시a16라이트그린 무잔상 3337,"갤럭시A16라이트그린,무잔상(3337)"
갤럭시,406,갤럭시a33블랙 6380,갤럭시A33블랙(6380),143,127000,132000.0,131580.41958041958,132000,갤럭시a33블랙 6380,갤럭시A33블랙(6380)
갤럭시,330,갤럭시버디4블랙a 플러스 급 무잔상 5139,"갤럭시버디4블랙A+급,무잔상(5139)",132,165000,165000.0,165000.0,165000,갤럭시버디4블랙a 플러스 급 무잔상 5139,"갤럭시버디4블랙A+급,무잔상(5139)"
갤럭시,535,갤럭시s22핑크무잔상 3663,갤럭시S22핑크무잔상(3663),131,245000,245000.0,245000.0,245000,갤럭시s22핑크무잔상 3663,갤럭시S22핑크무잔상(3663)
갤럭시,311,갤럭시노트8블루 무잔상 께끗 1925,"갤럭시노트8블루,무잔상,께끗(1925)",130,105000,105000.0,105000.0,105000,갤럭시노트8블루 무잔상 께끗 1925,"갤럭시노트8블루,무잔상,께끗(1925)"
갤럭시,564,갤럭시a33블루a 플러스 급 무잔상 7818,"갤럭시A33블루A+급,무잔상(7818)",127,135000,135000.0,135000.0,135000,갤럭시a33블루a 플러스 급 무잔상 7818,"갤럭시A33블루A+급,무잔상(7818)"
갤럭시,631,갤럭시a51블랙 무잔상 7741,"갤럭시A51블랙,무잔상(7741)",122,109000,109000.0,109000.0,109000,갤럭시a51블랙 무잔상 7741,"갤럭시A51블랙,무잔상(7741)"
갤럭시,500,갤럭시a33블루 1553,갤럭시A33블루(1553),121,120000,120000.0,120000.0,120000,갤럭시a33블루 1553,갤럭시A33블루(1553)
갤럭시,187,s급 삼성 갤럭시s21 퍼플 정상해지 할인가능,S급 삼성 갤럭시S21 퍼플 팝니다 정상해지 할인가능,113,55000,215000.0,255318.58407079647,580000,s급 삼성 갤럭시노트20 브론즈 정상해지 할인가능 | 도매 삼성 갤럭시s8 플러스 정상해지 폰 할인가능 | 도매 삼성 갤럭시노트9 퍼플 정상해지 폰 할인가능 | 도매 갤럭시노트7 업무용 정상해지 폰 할인가능,S급 삼성 갤럭시노트20 5G 브론즈팝니다 정상해지 할인가능 | 도매 삼성 갤럭시S8 플러스 팝니다 정상해지 중고폰 할인가능 | 도매 삼성 갤럭시노트9 퍼플 팝니다 정상해지 중고폰 할인가능 | 도매 갤럭시노트7 업무용 팝니다 정상해지 중고폰 할인가능
갤럭시,331,리퍼급 갤럭시s22 퍼플 무잔상 최고등급,리퍼급]갤럭시S22 퍼플 무잔상 최고등급,94,229000,279000.0,294893.6170212766,330000,리퍼급 갤럭시s23fe 크림 최고등급 공기계 리퍼급 | 리퍼급 갤럭시s23fe 그라파이트 최고등급 공기계 리퍼급 | 리퍼급 갤럭시s23fe 급 공기계 폰 | 리퍼급 갤럭시s21 바이올렛 무잔상 최고등급,리퍼급]갤럭시S23FE 크림 최고등급 공기계 리퍼급 | 리퍼급]갤럭시S23FE 그라파이트 최고등급 공기계 리퍼급 | 리퍼급 갤럭시s23FE 256GB 새상품급 공기계 중고폰 | 리퍼급]갤럭시S21 바이올렛 무잔상 최고등급
