keyword,platform,pid,name,cluster_product_name,price_numeric,status,link,cluster_name_text,tokenized_cluster_name_text,c1,c2,c3,c4,c5,c6,c7,c8
갤럭시,번개장터,341275439,삼성 15W 무선충전기 듀오(가격인하X),15w 무선 충전기 듀오,69000,판매중,https://m.bunjang.co.kr/products/341275439,15w 무선충전기 듀오,15w 무선 충전기 듀오,15w,무선,충전기,듀오,,,,
갤럭시,번개장터,412291725,2pm Galaxy of 2pm (갤오투) DVD 2016,2pm galax y of 2pm dvd,34000,판매중,https://m.bunjang.co.kr/products/412291725,2pm galaxy of 2pm dvd,2pm galax y of 2pm dvd,2pm,galax,y,of,2pm,dvd,,
갤럭시,번개장터,407414178,(일판) 3DS 이나이레 이나즈마 일레븐 GO 갤럭시 빅뱅,3ds 이나이레 이나즈마 일레븐 go 갤럭시 빅뱅,58000,판매중,https://m.bunjang.co.kr/products/407414178,3ds 이나이레 이나즈마 일레븐 go 갤럭시 빅뱅,3ds 이나이레 이나즈마 일레븐 go 갤럭시 빅뱅,3ds,이나이레,이나즈마,일레븐,go,갤럭시,빅뱅,
갤럭시,번개장터,339591970,AAwireless 2 안드로이드 오토 동글 판매합니다-정품 케이블 포함,aaa wi reless 안드로이드 오토 동글 케이블 포함,43900,판매중,https://m.bunjang.co.kr/products/339591970,aawireless 안드로이드 오토 동글 케이블 포함,aa wi reless 안드로이드 오토 동글 케이블 포함,aaa,wi,reless,안드로이드,오토,동글,케이블,포함
갤럭시,번개장터,411663413,ESPACE GALAXY QUARTZ 여성 시계,espace galax y quartz 여성 시계,40000,판매중,https://m.bunjang.co.kr/products/411663413,espace galaxy quartz 여성 시계,espace galax y quartz 여성 시계,espace,galax,y,quartz,여성,시계,,
갤럭시,번개장터,412395684,F1 더 무비 레드 갤럭시 LP,f1 더 무비 갤럭시 lp,55000,판매중,https://m.bunjang.co.kr/products/412395684,f1 더 무비 갤럭시 lp,f1 더 무비 갤럭시 lp,f1,더,무비,갤럭시,lp,,,
갤럭시,번개장터,280015420,삼성 G160 갤럭시폴더2 한소희폰 2019 화이트 A급,g160 갤럭시폴더 한소희폰,75000,판매중,https://m.bunjang.co.kr/products/280015420,g160 갤럭시폴더2 한소희폰,g160 갤럭시폴더 한소희폰,g160,갤럭시폴더,한소희폰,,,,,
갤럭시,번개장터,408145737,galaxxxy (갤럭시) BUCKET HOMIES 하라주쿠 스카잔,galax xxy bucket homies 하라주쿠 스카잔,55000,판매중,https://m.bunjang.co.kr/products/408145737,galaxxxy bucket homies 하라주쿠 스카잔,galax xxy bucket homies 하라주쿠 스카잔,galax,xxy,bucket,homies,하라주쿠,스카잔,,
갤럭시,번개장터,398674820,Galaxy Z Flip 5 512GB 팔아요 (그레이),galax y z flip 512gb,300000,판매중,https://m.bunjang.co.kr/products/398674820,galaxy z flip 512gb,galax y z flip 512gb,galax,y,z,flip,512gb,,,
갤럭시,번개장터,405456208,GALAXY 남성 점퍼,galax y 남성 점퍼,60000,판매중,https://m.bunjang.co.kr/products/405456208,galaxy 남성 점퍼,galax y 남성 점퍼,galax,y,남성,점퍼,,,,
갤럭시,번개장터,412014585,jackn*a 개인결제창 (갤럭시 Z플립7 256G),jackn 개인결제창,580000,판매중,https://m.bunjang.co.kr/products/412014585,jackn a 개인결제창,jackn 개인결제창,jackn,개인결제창,,,,,,
갤럭시,번개장터,406949589,541) KAMCO 갤럭시 금장 가죽 시계,kamco 갤럭시 금장 가죽 시계,35000,판매중,https://m.bunjang.co.kr/products/406949589,kamco 갤럭시 금장 가죽 시계,kamco 갤럭시 금장 가죽 시계,kamco,갤럭시,금장,가죽,시계,,,
갤럭시,번개장터,411852787,KT 갤럭시점프 (A326K) 블랙 128기가 (0353000),kt 갤럭시 점프 128gb,102000,판매중,https://m.bunjang.co.kr/products/411852787,kt 갤럭시점프 128gb,kt 갤럭시 점프 128gb,kt,갤럭시,점프,128gb,,,,
갤럭시,번개장터,410539741,KT 갤럭시진2 (A202K) 화이트  (0061710),kt 갤럭시 진2,49000,판매중,https://m.bunjang.co.kr/products/410539741,kt 갤럭시진2,kt 갤럭시 진2,kt,갤럭시,진2,,,,,
갤럭시,번개장터,381167786,KT 갤럭시폴더2019 (G160N) 블랙 (0336100),kt 갤럭시폴더2,44000,판매중,https://m.bunjang.co.kr/products/381167786,kt 갤럭시폴더2019,kt 갤럭시폴더2,kt,갤럭시폴더2,,,,,,
갤럭시,번개장터,412425432,(미사용)KYT 헬멧 GALAXY FLAT R 2XL 매트 그레이팝니다.,kyt 헬멧 galax y f la t r,80000,판매중,https://m.bunjang.co.kr/products/412425432,kyt 헬멧 galaxy flat r 2xl 매트,kyt 헬멧 galax y f la t r xl 매트,kyt,헬멧,galax,y,f,la,t,r
갤럭시,번개장터,411877836,KYT 헬멧 GALAXY SLIDE XXL,kyt 헬멧 galax y slide x xl,107000,판매중,https://m.bunjang.co.kr/products/411877836,kyt 헬멧 galaxy slide xxl,kyt 헬멧 galax y slide x xl,kyt,헬멧,galax,y,slide,x,xl,
갤럭시,번개장터,338430531,(국내미발매) LA갤럭시 트레블 쇼트 팬츠 해외 L 사이즈,la 갤럭시 트레블 쇼트 팬츠 해외 l 사이즈,50000,판매중,https://m.bunjang.co.kr/products/338430531,la갤럭시 트레블 쇼트 팬츠 해외 l 사이즈,la 갤럭시 트레블 쇼트 팬츠 해외 l 사이즈,la,갤럭시,트레블,쇼트,팬츠,해외,l,사이즈
갤럭시,번개장터,398362165,[해외L] 18-19 LA 갤럭시 홈 반팔 어센틱 즐라탄 이브라히모비치,la 갤럭시 홈 반팔 어센틱 즐라탄 이브라히모비치,130000,판매중,https://m.bunjang.co.kr/products/398362165,la 갤럭시 홈 반팔 어센틱 즐라탄 이브라히모비치,la 갤럭시 홈 반팔 어센틱 즐라탄 이브라히모비치,la,갤럭시,홈,반팔,어센틱,즐라탄,이브라히모비치,
갤럭시,번개장터,323550017,[해외M] 15-16 LA갤럭시 홈 유니폼(제라드),la 갤럭시 홈 유니폼,150000,판매중,https://m.bunjang.co.kr/products/323550017,la갤럭시 홈 유니폼,la 갤럭시 홈 유니폼,la,갤럭시,홈,유니폼,,,,
갤럭시,번개장터,394514671,LG 갤럭시J5 2016 (J510L) 화이트 (4281588),lg 갤럭시 j5,33000,판매중,https://m.bunjang.co.kr/products/394514671,lg 갤럭시j5,lg 갤럭시 j5,lg,갤럭시,j5,,,,,
갤럭시,번개장터,351357379,M 아디다스 남성 LA갤럭시 축구 트레이닝 유니폼 스티븐 제라드,m 아디다스 남성 la 갤럭시 축구 트레이닝 유니폼,100000,판매중,https://m.bunjang.co.kr/products/351357379,m 아디다스 남성 la갤럭시 축구 트레이닝 유니폼 스티븐 제라드,m 아디다스 남성 la 갤럭시 축구 트레이닝 유니폼 스티븐 제라드,m,아디다스,남성,la,갤럭시,축구,트레이닝,유니폼
갤럭시,번개장터,381078256,MLS LA갤럭시 24-25 써드 유니폼 노마킹,mls la 갤럭시 써드 유니폼 노마킹,70000,판매중,https://m.bunjang.co.kr/products/381078256,mls la갤럭시 써드 유니폼 노마킹,mls la 갤럭시 써드 유니폼 노마킹,mls,la,갤럭시,써드,유니폼,노마킹,,
갤럭시,번개장터,315740397,MLS 아디다스 LA갤럭시 후드티 XL,mls 아디다스 la 갤럭시 후드티 xl,53000,판매중,https://m.bunjang.co.kr/products/315740397,mls 아디다스 la갤럭시 후드티 xl,mls 아디다스 la 갤럭시 후드티 xl,mls,아디다스,la,갤럭시,후드티,xl,,
갤럭시,번개장터,412278545,na*BU 개인결제창 (갤럭시S26 256G),na bu 개인결제창,190000,판매중,https://m.bunjang.co.kr/products/412278545,na bu 개인결제창,na bu 개인결제창,na,bu,개인결제창,,,,,
갤럭시,번개장터,340915576,No.62 갤럭시아이즈 프라임 포톤 드래곤 1st 홀로,no. 갤럭시아 이즈 프 라임 포톤 드래곤 1st,660000,판매중,https://m.bunjang.co.kr/products/340915576,no. 갤럭시아이즈 프라임 포톤 드래곤 1st 홀로,no. 갤럭시아 이즈 프 라임 포톤 드래곤 1st 홀로,no.,갤럭시아,이즈,프,라임,포톤,드래곤,1st
갤럭시,번개장터,395467860,307) Orient Galaxy 듀얼타임 남성용 시계 팝니다.,orient galax y 듀얼타임 남성 용 시계,50000,판매중,https://m.bunjang.co.kr/products/395467860,orient galaxy 듀얼타임 남성용 시계,orient galax y 듀얼타임 남성 용 시계,orient,galax,y,듀얼타임,남성,용,시계,
갤럭시,번개장터,402631952,pal zileri x galaxy hombre shirts,pal zileri x galax y hombre shirts,33000,판매중,https://m.bunjang.co.kr/products/402631952,pal zileri x galaxy hombre shirts,pal zileri x galax y hombre shirts,pal,zileri,x,galax,y,hombre,shirts,
갤럭시,번개장터,377920830,Pastel Galaxy 아크릴 폰 거치대 (미개봉),pastel galax y 아크릴 거치대,95740,판매중,https://m.bunjang.co.kr/products/377920830,pastel galaxy 아크릴 거치대,pastel galax y 아크릴 거치대,pastel,galax,y,아크릴,거치대,,,
갤럭시,번개장터,407766169,RTX 갤럭시 3080TI sg 그래픽카드,rtx 갤럭시 3080ti sg 그래픽 카드,550000,판매중,https://m.bunjang.co.kr/products/407766169,rtx 갤럭시 3080ti sg 그래픽카드,rtx 갤럭시 3080ti sg 그래픽 카드,rtx,갤럭시,3080ti,sg,그래픽,카드,,
갤럭시,번개장터,367228534,rtx2080hof 갤럭시 그래픽카드,rtx2080 hof 갤럭시 그래픽 카드,370000,판매중,https://m.bunjang.co.kr/products/367228534,rtx2080hof 갤럭시 그래픽카드,rtx2080 hof 갤럭시 그래픽 카드,rtx2080,hof,갤럭시,그래픽,카드,,,
갤럭시,번개장터,403713647,scr01 삼성 갤럭시 5g wifi 라우터 신품급 초s급 풀박,scr01 갤럭시 5g wi fi 라우터 초,235000,판매중,https://m.bunjang.co.kr/products/403713647,scr01 갤럭시 5g wifi 라우터 급 초,scr01 갤럭시 5g wi fi 라우터 초,scr01,갤럭시,5g,wi,fi,라우터,초,
갤럭시,번개장터,410454900,SCR01 갤럭시 5G 라우터 판매,scr01 갤럭시 5g 라우터,130000,판매중,https://m.bunjang.co.kr/products/410454900,scr01 갤럭시 5g 라우터,scr01 갤럭시 5g 라우터,scr01,갤럭시,5g,라우터,,,,
갤럭시,번개장터,380373039,"택포 SH 한정 울트라맨 지드 갤럭시 라이징, 울트라맨 컨버지 2종 일괄",sh 한정 울트라 맨 지드 갤럭시 라이징 울트라,117000,판매중,https://m.bunjang.co.kr/products/380373039,sh 한정 울트라맨 지드 갤럭시 라이징 울트라맨 컨버지 2종,sh 한정 울트라 맨 지드 갤럭시 라이징 울트라 맨 컨버지 2종,sh,한정,울트라,맨,지드,갤럭시,라이징,울트라
갤럭시,번개장터,304446921,SHV-E500S 갤럭시 윈(화이트 색상)_초기 스마트폰,shv e500s 갤럭시 윈 초기,40000,판매중,https://m.bunjang.co.kr/products/304446921,shv e500s 갤럭시 윈 초기,shv e500s 갤럭시 윈 초기,shv,e500s,갤럭시,윈,초기,,,
갤럭시,번개장터,301788812,SHW-M220L 갤럭시네오 옛날구형스마트폰 소장폰,shw m220l 갤럭시 네오 옛날 구형 소장폰,50000,판매중,https://m.bunjang.co.kr/products/301788812,shw m220l 갤럭시네오 옛날구형 소장폰,shw m220l 갤럭시 네오 옛날 구형 소장폰,shw,m220l,갤럭시,네오,옛날,구형,소장폰,
갤럭시,번개장터,411664196,[팝니다] SKT 갤럭시 퀀텀6 128GB 블랙 팝니다,sk t 갤럭시 퀀텀6 128gb,380000,판매중,https://m.bunjang.co.kr/products/411664196,skt 갤럭시 퀀텀6 128gb,sk t 갤럭시 퀀텀6 128gb,sk,t,갤럭시,퀀텀6,128gb,,,
갤럭시,번개장터,411853390,SK 갤럭시A퀀텀 (A716S) 블루 128기가 (0232578),sk 갤럭시a 퀀텀 128gb,112000,판매중,https://m.bunjang.co.kr/products/411853390,sk 갤럭시a퀀텀 128gb,sk 갤럭시a 퀀텀 128gb,sk,갤럭시a,퀀텀,128gb,,,,
갤럭시,번개장터,325209842,SM-J710K 갤럭시 J7(골드 색상) 구형 스마트폰,sm j7 10k 갤럭시 j7 구형,60000,판매중,https://m.bunjang.co.kr/products/325209842,sm j710k 갤럭시 j7 구형,sm j7 10k 갤럭시 j7 구형,sm,j7,10k,갤럭시,j7,구형,,
갤럭시,번개장터,411848326,SM-N935L  갤럭시노트FE 패턴 잠김,sm n935l 갤럭시 노트 fe 패턴 잠김,35000,판매중,https://m.bunjang.co.kr/products/411848326,sm n935l 갤럭시노트fe 패턴 잠김,sm n935l 갤럭시 노트 fe 패턴 잠김,sm,n935l,갤럭시,노트,fe,패턴,잠김,
갤럭시,번개장터,411984245,smp(슈퍼미니프라)갤럭시메가 미개봉팝니다.,sm p 갤럭시 메가,180000,판매중,https://m.bunjang.co.kr/products/411984245,smp 갤럭시메가,sm p 갤럭시 메가,sm,p,갤럭시,메가,,,,
갤럭시,번개장터,410746532,SM-P580 (갤럭시탭 A 2016 with S pen),sm p580,80000,판매중,https://m.bunjang.co.kr/products/410746532,sm p580,sm p580,sm,p580,,,,,,
갤럭시,번개장터,412402363,가면라이더 빌드 dx 머슬갤럭시 풀보틀,가면라이더 빌드 dx 머슬 갤럭시 풀보틀,180000,판매중,https://m.bunjang.co.kr/products/412402363,가면라이더 빌드 dx 머슬갤럭시 풀보틀,가면라이더 빌드 dx 머슬 갤럭시 풀보틀,가면라이더,빌드,dx,머슬,갤럭시,풀보틀,,
갤럭시,번개장터,409320476,가성비 최고!) 갤럭시 점프2,가성비 최고 갤럭시 점프,110000,판매중,https://m.bunjang.co.kr/products/409320476,가성비 최고 갤럭시 점프2,가성비 최고 갤럭시 점프,가성비,최고,갤럭시,점프,,,,
갤럭시,번개장터,412100434,갤럭시,갤럭시,99999,예약중,https://m.bunjang.co.kr/products/412100434,갤럭시,갤럭시,갤럭시,,,,,,,
갤럭시,번개장터,412063985,갤럭시A 17 판매합니다,갤럭시,250000,판매중,https://m.bunjang.co.kr/products/412063985,갤럭시a,갤럭시,갤럭시,,,,,,,
갤럭시,번개장터,412396687,(택포) 갤럭시 22FW 콜롬보 캐시미어 백프로 자켓 52 C22,갤럭시 22fw 콜롬보 캐시미어 백 프로 자켓 c22,230000,판매중,https://m.bunjang.co.kr/products/412396687,갤럭시 22fw 콜롬보 캐시미어 백프로 자켓 c22,갤럭시 22fw 콜롬보 캐시미어 백 프로 자켓 c22,갤럭시,22fw,콜롬보,캐시미어,백,프로,자켓,c22
갤럭시,번개장터,398664181,갤럭시 23ss  칼리날 나일론 블루종 자켓 105size,갤럭시 23ss 칼리날 나일론 종 자켓 105size,85000,판매중,https://m.bunjang.co.kr/products/398664181,갤럭시 23ss 칼리날 나일론 종 자켓 105size,갤럭시 23ss 칼리날 나일론 종 자켓 105size,갤럭시,23ss,칼리날,나일론,종,자켓,105size,
갤럭시,번개장터,401311848,갤럭시 8GB DDR4 pc4,갤럭시 8gb ddr4 pc4,43000,판매중,https://m.bunjang.co.kr/products/401311848,갤럭시 8gb ddr4 pc4,갤럭시 8gb ddr4 pc4,갤럭시,8gb,ddr4,pc4,,,,
