keyword,c1,c2,c3,c4,c5,c6,c7,c8,cluster_product_name,item_count,min_price,median_price,average_price,max_price,sample_tokenized_names,sample_normalized_names,sample_original_names
갤럭시,갤럭시,a33,,,,,,,갤럭시 a33,273,120000,130000.0,126395.6043956044,132000,갤럭시 a33,갤럭시 a33,갤럭시A33블랙(6380) | 갤럭시A33블루(1553)
갤럭시,갤럭시,s22,,,,,,,갤럭시 s22,208,160000,245000.0,230427.88461538462,266000,갤럭시 s22,갤럭시 s22,갤럭시S22핑크무잔상(3663) | 갤럭시 s22 256
갤럭시,갤럭시,a16,,,,,,,갤럭시 a16,201,135000,165000.0,164288.55721393035,300000,갤럭시 a16,갤럭시 a16,"갤럭시A16라이트그린,무잔상(3337)"
갤럭시,갤럭시,노트8,,,,,,,갤럭시 노트8,170,75000,105000.0,105247.05882352941,110000,갤럭시 노트8,갤럭시 노트8,"갤럭시노트8블루,무잔상,께끗(1925)"
갤럭시,갤럭시,노트20,미스틱,,,,,,갤럭시 노트20,146,155000,179000.0,167164.38356164383,179000,갤럭시 노트20 미스틱,갤럭시 노트20 미스틱,"갤럭시노트20미스틱그레이,무잔상(0820) | 갤럭시노트20미스틱브론즈(7590)"
갤럭시,갤럭시,버디4,플러스,,,,,,갤럭시 버디4 플러스,132,165000,165000.0,165000.0,165000,갤럭시 버디4 플러스,갤럭시 버디4 a 플러스 급,"갤럭시버디4블랙A+급,무잔상(5139)"
갤럭시,갤럭시,a33,플러스,,,,,,갤럭시 a33 플러스,127,135000,135000.0,135000.0,135000,갤럭시 a33 플러스,갤럭시 a33 a 플러스 급,"갤럭시A33블루A+급,무잔상(7818)"
갤럭시,갤럭시,a51,,,,,,,갤럭시 a51,123,100000,109000.0,108926.82926829268,109000,갤럭시 a51,갤럭시 a51,"갤럭시A51블랙,무잔상(7741)"
갤럭시,갤럭시,와이드8,,,,,,,갤럭시 와이드8,95,148000,165000.0,168094.73684210525,270000,갤럭시 와이드8,갤럭시 와이드8,(1277)갤럭시와이드8 128 판매합니다 | 갤럭시 와이드 8 | 갤럭시 와이드8 블랙 무잔상 정상공기기 중고폰 | 갤럭시와이드8 128 판매합니다
갤럭시,갤럭시,s8,오키드,,,,,,갤럭시 s8,89,90000,95000.0,94943.82022471911,95000,갤럭시 s8 오키드,갤럭시 s8 오키드,갤럭시 S8오키드그레이 A급 무잔상 정상공기기 중고폰 | 갤럭시S8오키드그레이.무잔상(8898)
갤럭시,갤럭시,s21,256gb,,,,,,갤럭시 s21 256gb,78,100000,190000.0,188692.3076923077,240000,갤럭시 s21 256gb,갤럭시 s21 256gb,[S급] 갤럭시 S21 256GB 퍼플 [25680] | [S급] 갤럭시 S21 256GB 퍼플 [25681] | [A급] 갤럭시 S21 256GB 퍼플 [25675] | [A급] 갤럭시 S21 256GB 블랙 [25683] | [A+급] 갤럭시S21 256G 핑크 [25464]
갤럭시,갤럭시,s21,,,,,,,갤럭시 s21,74,140000,195000.0,185054.05405405405,220000,갤럭시 s21,갤럭시 s21,갤럭시 S21블랙 A급 무잔상 정상공기기 중고폰 | 갤럭시 S21블랙 정상공기기 중고폰 | 갤럭시 S21바이올렛 정상공기기 중고폰 | 갤럭시 S21바이올렛 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s23,256gb,,,,,,갤럭시 s23 256gb,73,270000,364000.0,370328.76712328766,648000,갤럭시 s23 256gb,갤럭시 s23 256gb,[S급] 갤럭시 S23 256GB 크림 [25762] | [A-급] 갤럭시 S23 256GB 그린 [25764] | 갤럭시 S23 256GB | [S급] 갤럭시S23 256G 그린 [24518] | S급 갤럭시S23 256기가 라벤더 부산중고폰 01824 광주 인천
갤럭시,갤럭시,노트9,,,,,,,갤럭시 노트9,68,73000,105000.0,102720.58823529411,155000,갤럭시 노트9,갤럭시 노트9,도매 삼성 갤럭시노트9 퍼플 팝니다 정상해지 중고폰 할인가능 | 갤럭시노트9 128 판매 | (504)갤럭시노트9 128 판매 | 갤럭시 노트9 코퍼 정상공기기 중고폰 | 갤럭시 노트9실버 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트20,,,,,,,갤럭시 노트20,61,145000,179000.0,172491.80327868852,200000,갤럭시 노트20,갤럭시 노트20,갤럭시 노트20브론즈 정상공기기 중고폰 | 갤럭시 노트20브론즈 무잔상 정상공기기 중고폰 | 서울 갤럭시 노트20 (N981) 브론즈 256 A급 팝니다. | 갤럭시 노트20민트 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s23fe,256gb,,,,,,갤럭시 s23fe 256gb,61,270000,345000.0,333590.1639344262,360000,갤럭시 s23fe 256gb,급 갤럭시 s23fe 256gb | 갤럭시 s23fe 256gb,[01434] 당일발송 새상품급 갤럭시S23FE 256GB 민트 정상해지 | [01444] 당일발송 새상품급 갤럭시S23FE 256GB 민트 정상해지 | 갤럭시S23FE 256기가 민트 부산중고폰 01879 김해 울산 | 갤럭시S23FE 바이올렛 256GB | S급. 갤럭시S23FE 256기가 블랙 부산중고폰 01884 김해 울산
갤럭시,갤럭시,s24,256gb,,,,,,갤럭시 s24 256gb,60,88980,470000.0,465183.0,530000,갤럭시 s24 256gb,갤럭시 s24 256gb,[S급] 갤럭시 S24 256GB 실버 [25684] | [S급] 갤럭시 S24 256G 옐로우 [19082] | 갤럭시S24/256GB[삼성전자] | 갤럭시 S24 256GB 옐로우 [75169] | 갤럭시 s24 256g
갤럭시,갤럭시,s22,256gb,,,,,,갤럭시 s22 256gb,59,148000,250000.0,242406.77966101695,310000,갤럭시 s22 256gb,갤럭시 s22 256gb,갤럭시S22 256G 그린 A급 | [S급] 갤럭시 S22 256GB 핑크 [25776] | 갤럭시S22 블랙 256GB | 갤럭시 S22 블랙 A급 256G
갤럭시,갤럭시,z플립6,256gb,,,,,,갤럭시 z플립6 256gb,49,250000,420000.0,430020.4081632653,650000,갤럭시 z플립6 256gb,갤럭시 z플립6 256gb,갤럭시 Z플립6 256GB 민트 [76318] | 갤럭시Z플립6 256G 실버 공기계 15312 | 갤럭시 Z 플립6 256GB (A급 기스없는 아주깨끗한폰) | 갤럭시Z플립6 256G 무잔상 실버 01295 | 갤럭시Z플립6 256G 옐로우 공기계 60655
갤럭시,갤럭시,점프,,,,,,,갤럭시 점프,46,85100,120000.0,115980.43478260869,150000,갤럭시 점프,갤럭시 점프3 | 갤럭시 점프,갤럭시 점프3블랙 무잔상 정상공기기 중고폰 | 갤럭시 점프 블랙 무잔상 정상공기기 중고폰 | 갤럭시 점프3화이트 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시,s24,,,,,,,갤럭시 s24,44,198800,435000.0,435586.36363636365,480000,갤럭시 s24,갤럭시 s24,[마지막재고]갤럭시S24 [256GB] | (3701)갤럭시s24 256 판매합니다 | (393)갤럭시s24 512 판매합니다 | 갤럭시s24 256 판매합니다
