keyword,canonical_name,platform,pid,name,price,status,description,image_url,link,date,matched_keywords
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,288748044,갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품,789800,판매중,,https://media.bunjang.co.kr/product/288748044_1_1770643704_w{res}.jpg,https://m.bunjang.co.kr/products/288748044,2026-05-08 10:20,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,288737074,갤럭시S25엣지/S25/S25플러스/S25울트라 삼성전자 정품,489000,판매중,,https://media.bunjang.co.kr/product/288737074_1_1763512495_w{res}.jpg,https://m.bunjang.co.kr/products/288737074,2026-05-08 10:20,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,91607510,[새상품/완납폰]갤럭시S25/S25플러스/S25울트라 쓰던 유심 그대로,389000,판매중,,https://media.bunjang.co.kr/product/91607510_1_1742201352_w{res}.jpg,https://m.bunjang.co.kr/products/91607510,2026-05-08 10:15,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,376392581,갤럭시 S25 울트라 케이스,2500,판매중,,https://media.bunjang.co.kr/product/376392581_1_1765852616_w{res}.jpg,https://m.bunjang.co.kr/products/376392581,2026-05-08 10:11,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,322273870,갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품,685900,판매중,,https://media.bunjang.co.kr/product/322273870_1_1772102465_w{res}.jpg,https://m.bunjang.co.kr/products/322273870,2026-05-08 10:10,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,305415938,갤럭시S25/갤럭시S25플러스/갤럭시S25울트라 미개봉 시리즈,359000,판매중,,https://media.bunjang.co.kr/product/305415938_1_1763512505_w{res}.jpg,https://m.bunjang.co.kr/products/305415938,2026-05-08 10:10,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406433028,갤럭시 S25울트라1tb 블랙 팜니다,1270000,판매중,,https://media.bunjang.co.kr/product/406433028_1_1778161368_w{res}.jpg,https://m.bunjang.co.kr/products/406433028,2026-05-08 10:02,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,398446685,케이스티파이 짱구 갤럭시 S25 울트라 케이스,35000,판매중,,https://media.bunjang.co.kr/product/398446685_1_1774921343_w{res}.jpg,https://m.bunjang.co.kr/products/398446685,2026-05-08 09:51,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,402020887,갤럭시 s25울트라,4000,판매중,,https://media.bunjang.co.kr/product/402020887_1_1778061703_w{res}.jpg,https://m.bunjang.co.kr/products/402020887,2026-05-08 09:45,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,305423691,갤럭시S25/갤럭시S25플러스/갤럭시S25울트라 시리즈,499000,판매중,,https://media.bunjang.co.kr/product/305423691_1_1776842902_w{res}.jpg,https://m.bunjang.co.kr/products/305423691,2026-05-08 09:35,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,315296103,[삼성전자/정품]갤럭시S25울트라 미개봉 신제품 새상품,688890,판매중,,https://media.bunjang.co.kr/product/315296103_1_1778148176_w{res}.jpg,https://m.bunjang.co.kr/products/315296103,2026-05-08 09:25,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,405667884,갤럭시S25울트라 호환 맨유 골드 앰블럼 굿즈 케이스 판매,3000,판매중,,https://media.bunjang.co.kr/product/405667884_1_1778174316_w{res}.jpg,https://m.bunjang.co.kr/products/405667884,2026-05-08 09:04,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,394665174,갤럭시s25울트라(s938) 팝니다,1180000,판매중,,https://media.bunjang.co.kr/product/394665174_1_1773561949_w{res}.jpg,https://m.bunjang.co.kr/products/394665174,2026-05-08 09:00,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,394163027,"[미사용/새상품]갤럭시S25울트라 재고정리 할인[23,24,26,플립7]",490000,판매중,,https://media.bunjang.co.kr/product/394163027_1_1777877137_w{res}.jpg,https://m.bunjang.co.kr/products/394163027,2026-05-08 09:00,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,317065856,[미개봉]갤럭시S25/S25플러스/S25울트라 신제품특가 512기가 보유,459000,판매중,,https://media.bunjang.co.kr/product/317065856_1_1741698605_w{res}.jpg,https://m.bunjang.co.kr/products/317065856,2026-05-08 08:40,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,317066274,[삼성전자 정품]갤럭시S25울트라 전색상 특가,758400,판매중,,https://media.bunjang.co.kr/product/317066274_1_1754051112_w{res}.jpg,https://m.bunjang.co.kr/products/317066274,2026-05-08 08:40,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,390327186,갤럭시 S25 울트라 512 자급제 제트블랙 삼케플X,1050000,판매중,,https://media.bunjang.co.kr/product/390327186_1_1777609182_w{res}.jpg,https://m.bunjang.co.kr/products/390327186,2026-05-08 08:10,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,398210073,"2025.05.19최초통화, 갤럭시 S25 ultra 울트라512 자급제",1070000,판매중,,https://media.bunjang.co.kr/product/398210073_1_1777815017_w{res}.jpg,https://m.bunjang.co.kr/products/398210073,2026-05-08 08:08,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,347793621,갤럭시s25울트라[미개봉/정품/삼성케어]1년에 딱한번 갤럭시 저렴한시기,678800,판매중,,https://media.bunjang.co.kr/product/347793621_1_1778143975_w{res}.jpg,https://m.bunjang.co.kr/products/347793621,2026-05-08 08:00,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,337420068,갤럭시 s25 울트라 맥세이프 케이스,6000,판매중,,https://media.bunjang.co.kr/product/337420068_1_1772781643_w{res}.jpg,https://m.bunjang.co.kr/products/337420068,2026-05-08 07:33,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406182391,갤럭시 s25울트라 다이어리케이스,9800,판매중,,https://media.bunjang.co.kr/product/406182391_1_1777981894_w{res}.jpg,https://m.bunjang.co.kr/products/406182391,2026-05-08 07:31,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,399634551,"갤럭시S25 (울트라 S938) 투명케이스,강화유리액정필름",3200,판매중,,https://media.bunjang.co.kr/product/399634551_1_1775377659_w{res}.jpg,https://m.bunjang.co.kr/products/399634551,2026-05-08 07:15,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,369451154,갤럭시 S25 울트라 케이스 팝니다,11000,판매중,,https://media.bunjang.co.kr/product/369451154_1_1778153813_w{res}.jpg,https://m.bunjang.co.kr/products/369451154,2026-05-08 06:38,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,348403135,삼성갤럭시 S25울트라 256g 자급제 미사용품,1220000,판매중,,https://media.bunjang.co.kr/product/348403135_1_1776772224_w{res}.jpg,https://m.bunjang.co.kr/products/348403135,2026-05-08 05:01,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,347175146,삼성갤럭시 S25울트라 자급제 미사용품,1290000,판매중,,https://media.bunjang.co.kr/product/347175146_1_1776772014_w{res}.jpg,https://m.bunjang.co.kr/products/347175146,2026-05-08 05:00,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406681122,>한정판매< 갤럭시 S25 울트라 256G 티타늄 실버블루(직거래 할인),1073000,판매중,,https://media.bunjang.co.kr/product/406681122_1_1778182634_w{res}.jpg,https://m.bunjang.co.kr/products/406681122,2026-05-08 04:37,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406669192,갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프케이스 판매합니다,10000,판매중,,https://media.bunjang.co.kr/product/406669192_1_1778174494_w{res}.jpg,https://m.bunjang.co.kr/products/406669192,2026-05-08 02:21,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406668913,갤럭시S25울트라 슈피겐 맥세이프 케이스판매합니다,20000,판매중,,https://media.bunjang.co.kr/product/406668913_1_1778174347_w{res}.jpg,https://m.bunjang.co.kr/products/406668913,2026-05-08 02:19,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406668659,갤럭시S25울트라 슈피겐 나노팝맥핏 맥세이프 케이스 판매합니다,20000,판매중,,https://media.bunjang.co.kr/product/406668659_1_1778174215_w{res}.jpg,https://m.bunjang.co.kr/products/406668659,2026-05-08 02:16,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,398032071,삼성 갤럭시 S25 울트라 512,1090000,판매중,,https://media.bunjang.co.kr/product/398032071_1_1775123682_w{res}.jpg,https://m.bunjang.co.kr/products/398032071,2026-05-08 00:40,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406298166,갤럭시s25울트라 512g 실버 판매합니다,1150000,판매중,,https://media.bunjang.co.kr/product/406298166_1_1778036875_w{res}.jpg,https://m.bunjang.co.kr/products/406298166,2026-05-08 00:03,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,397281261,갤럭시 S25울트라 풀박스 특S급,1130000,판매중,,https://media.bunjang.co.kr/product/397281261_1_1777949319_w{res}.jpg,https://m.bunjang.co.kr/products/397281261,2026-05-07 23:52,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,392817976,"갤럭시s25 울트라 1tb 12g 자급제 화이트실버 케이스, 필름",1500000,판매중,,https://media.bunjang.co.kr/product/392817976_1_1777462445_w{res}.jpg,https://m.bunjang.co.kr/products/392817976,2026-05-07 23:12,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406640051,새폰급)갤럭시s25울트라 512gb기스찍힘없음 중고폰공기계!,1230000,판매중,,https://media.bunjang.co.kr/product/406640051_1_1778162411_w{res}.jpg,https://m.bunjang.co.kr/products/406640051,2026-05-07 23:00,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,90856309,[제휴카드]갤럭시S25 울트라[삼성전자 새상품],188900,판매중,,https://media.bunjang.co.kr/product/90856309_1_1760704079_w{res}.jpg,https://m.bunjang.co.kr/products/90856309,2026-05-07 21:50,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,406617242,[00866] 당일발송 갤럭시S25울트라 S938 512GB 무잔상 블랙,1070000,판매중,,https://media.bunjang.co.kr/product/406617242_1_1778155339_w{res}.jpg,https://m.bunjang.co.kr/products/406617242,2026-05-07 21:02,갤럭시 s25 울트라
갤럭시 s25 울트라,갤럭시 s25 울트라,번개장터,399903828,갤럭시S25울트라 1Tb 16Ram 제트블랙(1테라),1400000,판매중,,https://media.bunjang.co.kr/product/399903828_1_1775801881_w{res}.jpg,https://m.bunjang.co.kr/products/399903828,2026-05-07 20:57,갤럭시 s25 울트라
