keyword,canonical_name,platform,pid,name,price,status,description,image_url,link,date,matched_keywords
아이폰 17 프로,아이폰 17 프로,번개장터,373747284,"아이폰 16,17 프로, 맥스 애플정품 클리어케이스 미개봉",36000,판매중,,https://media.bunjang.co.kr/product/373747284_1_1778114520_w{res}.jpg,https://m.bunjang.co.kr/products/373747284,2026-05-08 10:26,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,396730533,아이폰17프로 256 실버 팝니다,1750000,판매중,,https://media.bunjang.co.kr/product/396730533_1_1775801939_w{res}.jpg,https://m.bunjang.co.kr/products/396730533,2026-05-08 10:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355982213,[LG]아이폰17프로맥스(새상품/전색상/애플케어),1498800,판매중,,https://media.bunjang.co.kr/product/355982213_1_1773743825_w{res}.jpg,https://m.bunjang.co.kr/products/355982213,2026-05-08 10:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355978022,[LG]아이폰17프로(새상품/전색상/애플케어),1062000,판매중,,https://media.bunjang.co.kr/product/355978022_1_1757753754_w{res}.jpg,https://m.bunjang.co.kr/products/355978022,2026-05-08 10:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355978409,[알뜰통신사]아이폰17프로(새상품/전색상/애플케어),1312000,판매중,,https://media.bunjang.co.kr/product/355978409_1_1757753859_w{res}.jpg,https://m.bunjang.co.kr/products/355978409,2026-05-08 10:10,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,404481912,아이폰 17프로맥스 피타카 케이스 선셋,60000,판매중,,https://media.bunjang.co.kr/product/404481912_1_1777340734_w{res}.jpg,https://m.bunjang.co.kr/products/404481912,2026-05-08 10:05,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,399463748,아이폰17 프로 맥스 케이스 팔아요,30000,판매중,,https://media.bunjang.co.kr/product/399463748_1_1775306765_w{res}.jpg,https://m.bunjang.co.kr/products/399463748,2026-05-08 10:05,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406644566,아이폰 17 라밴더 -> 아이폰 17프로 교환,99999,판매중,,https://media.bunjang.co.kr/product/406644566_1_1778202140_w{res}.jpg,https://m.bunjang.co.kr/products/406644566,2026-05-08 10:01,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394160573,"[미사용/새상품] 아이폰17프로 재고정리 할인 [13,14,15,16]",610000,판매중,,https://media.bunjang.co.kr/product/394160573_1_1776758775_w{res}.jpg,https://m.bunjang.co.kr/products/394160573,2026-05-08 10:01,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394159506,"[미사용/새상품] 아이폰17 재고정리 할인 [13,14,15,16,프로]",110000,판매중,,https://media.bunjang.co.kr/product/394159506_1_1773288759_w{res}.jpg,https://m.bunjang.co.kr/products/394159506,2026-05-08 10:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394157319,"[미사용/새상품] 아이폰16 재고정리 할인 [13,14,15,17,프로]",90000,판매중,,https://media.bunjang.co.kr/product/394157319_1_1773288860_w{res}.jpg,https://m.bunjang.co.kr/products/394157319,2026-05-08 10:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,364369499,비싸게삽니다!!! 아이폰17프로 17프로맥스 미개봉 256 512 1TB,1700000,판매중,,https://media.bunjang.co.kr/product/364369499_1_1777866180_w{res}.jpg,https://m.bunjang.co.kr/products/364369499,2026-05-08 10:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,364344128,비싸게삽니다!!! 아이폰17프로 17프로맥스 미개봉 256 512 1TB,1700000,판매중,,https://media.bunjang.co.kr/product/364344128_1_1777866171_w{res}.jpg,https://m.bunjang.co.kr/products/364344128,2026-05-08 10:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,222420301,아이폰 17 pro 아이폰 전기종 매입 다합니다,1000000,판매중,,https://media.bunjang.co.kr/product/222420301_1_1761447008_w{res}.jpg,https://m.bunjang.co.kr/products/222420301,2026-05-08 09:52,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,398258339,비츠 아이폰 17프로 정품 케이스 스톤색상팝니다.,15000,판매중,,https://media.bunjang.co.kr/product/398258339_1_1774839563_w{res}.jpg,https://m.bunjang.co.kr/products/398258339,2026-05-08 09:45,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355961242,[알뜰통신사]아이폰17프로맥스(새상품/전색상/미개봉),1480000,판매중,,https://media.bunjang.co.kr/product/355961242_1_1778062918_w{res}.jpg,https://m.bunjang.co.kr/products/355961242,2026-05-08 09:45,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355959302,[알뜰통신사]아이폰17프로(새상품/전색상/정품),1282000,판매중,,https://media.bunjang.co.kr/product/355959302_1_1778064303_w{res}.jpg,https://m.bunjang.co.kr/products/355959302,2026-05-08 09:45,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406575746,어반소피스티케이션 키티 케이스 아이폰17프로,149000,판매중,,https://media.bunjang.co.kr/product/406575746_1_1778142278_w{res}.jpg,https://m.bunjang.co.kr/products/406575746,2026-05-08 09:38,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406574730,어반소피스티케이션 헬로키티 케이스 아이폰17프로,80000,판매중,,https://media.bunjang.co.kr/product/406574730_1_1778149816_w{res}.jpg,https://m.bunjang.co.kr/products/406574730,2026-05-08 09:38,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406698113,케이스티파이 x 지드래곤 아이폰 17 Pro 알로이 리플 케이스 실버 그,79000,판매중,,https://media.bunjang.co.kr/product/406698113_1_1778200669_w{res}.jpg,https://m.bunjang.co.kr/products/406698113,2026-05-08 09:37,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,405878593,"[미사용/새상품]아이폰17E 재고정리 할인 [13,14,15,16,프로]",50000,판매중,,https://media.bunjang.co.kr/product/405878593_1_1777876788_w{res}.jpg,https://m.bunjang.co.kr/products/405878593,2026-05-08 09:31,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,403362103,아이폰17프로맥스 512 풀박,2090000,판매중,,https://media.bunjang.co.kr/product/403362103_1_1778157792_w{res}.jpg,https://m.bunjang.co.kr/products/403362103,2026-05-08 09:26,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355960339,[KT]아이폰17프로맥스(새상품/전색상/정품),1479000,판매중,,https://media.bunjang.co.kr/product/355960339_1_1778156604_w{res}.jpg,https://m.bunjang.co.kr/products/355960339,2026-05-08 09:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355959994,[SKT]아이폰17프로맥스(새상품/전색상/정품),1480000,판매중,,https://media.bunjang.co.kr/product/355959994_1_1778156621_w{res}.jpg,https://m.bunjang.co.kr/products/355959994,2026-05-08 09:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355958681,[KT]아이폰17프로(새상품/전색상/정품),1032000,판매중,,https://media.bunjang.co.kr/product/355958681_1_1778156572_w{res}.jpg,https://m.bunjang.co.kr/products/355958681,2026-05-08 09:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,355958295,[SKT]아이폰17프로(새상품/전색상/정품),1032000,판매중,,https://media.bunjang.co.kr/product/355958295_1_1778156583_w{res}.jpg,https://m.bunjang.co.kr/products/355958295,2026-05-08 09:20,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,388530770,아이폰17프로 256G,550000,판매중,,https://media.bunjang.co.kr/product/388530770_1_1770880775_w{res}.jpg,https://m.bunjang.co.kr/products/388530770,2026-05-08 09:15,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,405927429,아이폰 17프로 케이스티파이,33000,판매중,,https://media.bunjang.co.kr/product/405927429_1_1778197506_w{res}.jpg,https://m.bunjang.co.kr/products/405927429,2026-05-08 09:13,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406498717,아이폰17프로 1테라 실버색상 삽니다,3800000,판매중,,https://media.bunjang.co.kr/product/406498717_1_1778113602_w{res}.jpg,https://m.bunjang.co.kr/products/406498717,2026-05-08 09:13,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406695506,아이폰17프로(애케플)+추금으로 17프맥 512 교환 원합니디,2000000,판매중,,https://media.bunjang.co.kr/product/406695506_1_1778199121_w{res}.jpg,https://m.bunjang.co.kr/products/406695506,2026-05-08 09:11,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406418229,케이스티파이 몰티즈 아이폰17프로 케이스 팝니다,35000,판매중,,https://media.bunjang.co.kr/product/406418229_1_1778114449_w{res}.jpg,https://m.bunjang.co.kr/products/406418229,2026-05-08 09:08,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394158623,"[미사용/새상품] 아이폰16프로 재고정리 할인 [13,14,15,17]",370000,판매중,,https://media.bunjang.co.kr/product/394158623_1_1773288800_w{res}.jpg,https://m.bunjang.co.kr/products/394158623,2026-05-08 09:01,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394155965,"[미사용/새상품] 아이폰15프로 재고정리 할인 [13,14,16,17]",290000,판매중,,https://media.bunjang.co.kr/product/394155965_1_1773288887_w{res}.jpg,https://m.bunjang.co.kr/products/394155965,2026-05-08 09:01,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,405869614,"[미사용/새상품]아이폰16E 재고정리 할인 [13,14,15,17,프로]",50000,판매중,,https://media.bunjang.co.kr/product/405869614_1_1777874408_w{res}.jpg,https://m.bunjang.co.kr/products/405869614,2026-05-08 09:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394161073,"[미사용/새상품]아이폰17프로맥스 재고정리 할인 [13,14,15,16]",930000,판매중,,https://media.bunjang.co.kr/product/394161073_1_1773288689_w{res}.jpg,https://m.bunjang.co.kr/products/394161073,2026-05-08 09:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394159868,"[미사용/새상품]아이폰17에어 재고정리 할인[13,14,15,16,프로]",410000,판매중,,https://media.bunjang.co.kr/product/394159868_1_1773288742_w{res}.jpg,https://m.bunjang.co.kr/products/394159868,2026-05-08 09:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394158930,"[미사용/새상품]아이폰16프로맥스 재고정리 할인 [13,14,15,17]",720000,판매중,,https://media.bunjang.co.kr/product/394158930_1_1773288777_w{res}.jpg,https://m.bunjang.co.kr/products/394158930,2026-05-08 09:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394158159,"[미사용/새상품]아이폰16플러스 재고정리 할인[13,14,15,17프로]",190000,판매중,,https://media.bunjang.co.kr/product/394158159_1_1773288839_w{res}.jpg,https://m.bunjang.co.kr/products/394158159,2026-05-08 09:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,394153402,"[미사용/새상품] 아이폰15 재고정리 할인 [13,14,16,17,프로]",70000,판매중,,https://media.bunjang.co.kr/product/394153402_1_1773288907_w{res}.jpg,https://m.bunjang.co.kr/products/394153402,2026-05-08 09:00,아이폰 17 프로
아이폰 17 프로,아이폰 17 프로,번개장터,406475297,아이폰 17 프로 512GB 코스믹 오렌지,1800000,판매중,,https://media.bunjang.co.kr/product/406475297_1_1778114071_w{res}.jpg,https://m.bunjang.co.kr/products/406475297,2026-05-08 08:56,아이폰 17 프로
