keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
닌텐도,번개장터,408853047,"GBA,게임보이어드밴스)황금의 태양 잃어버린 시대",11500,판매중,,https://media.bunjang.co.kr/product/408853047_1_1779104102_w{res}.jpg,https://m.bunjang.co.kr/products/408853047,2026-05-18 20:35,"gba,게임보이어드밴스)황금의 태양 잃어버린 시대",,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408589052,닌텐도 스위치 포켓몬 레전드 ZA 한국어판,50000,판매중,,https://media.bunjang.co.kr/product/408589052_1_1778998011_w{res}.jpg,https://m.bunjang.co.kr/products/408589052,2026-05-18 20:34,닌텐도 스위치 포켓몬 레전드 za 한국어판,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408852687,"GBA,게임보이어드밴스)포켓몬스터 사파이어",29500,판매중,,https://media.bunjang.co.kr/product/408852687_1_1779103987_w{res}.jpg,https://m.bunjang.co.kr/products/408852687,2026-05-18 20:33,"gba,게임보이어드밴스)포켓몬스터 사파이어",,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408852686,따라큐 피카츄 닌텐도 LL(XL) 파우치 케이스,40000,판매중,,https://media.bunjang.co.kr/product/408852686_1_1779103987_w{res}.jpg,https://m.bunjang.co.kr/products/408852686,2026-05-18 20:33,따라큐 피카츄 닌텐도 ll(xl) 파우치 케이스,,,CASE,Y,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408852584,닌텐도 Wii 슈퍼 페이퍼 마리오,11000,판매중,,https://media.bunjang.co.kr/product/408852584_1_1779103964_w{res}.jpg,https://m.bunjang.co.kr/products/408852584,2026-05-18 20:32,닌텐도 wii 슈퍼 페이퍼 마리오,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408846158,닌텐도 스위치 라이트 동물의 숲 에디션 코랄,170000,판매중,,https://media.bunjang.co.kr/product/408846158_1_1779102369_w{res}.jpg,https://m.bunjang.co.kr/products/408846158,2026-05-18 20:32,닌텐도 스위치 라이트 동물의 숲 에디션 코랄,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408852452,"GBA,게임보이어드밴스)포켓몬스터 루비",31500,판매중,,https://media.bunjang.co.kr/product/408852452_1_1779103919_w{res}.jpg,https://m.bunjang.co.kr/products/408852452,2026-05-18 20:31,"gba,게임보이어드밴스)포켓몬스터 루비",,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408852421,닌텐도 Wii 춤춰라 메이드 인 와리오,11000,판매중,,https://media.bunjang.co.kr/product/408852421_1_1779103910_w{res}.jpg,https://m.bunjang.co.kr/products/408852421,2026-05-18 20:31,닌텐도 wii 춤춰라 메이드 인 와리오,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408660514,닌텐도 2ds xl 박스셋 판매 s급 특가세일,320000,판매중,,https://media.bunjang.co.kr/product/408660514_1_1779088578_w{res}.jpg,https://m.bunjang.co.kr/products/408660514,2026-05-18 20:31,닌텐도 2ds xl 박스셋 s급 특가세일,,,BOX,Y,,SALE,,,,,UNKNOWN
닌텐도,번개장터,408767425,PS VITA 2세대 박스셋 + 게임11개 + 16GB,310000,판매중,,https://media.bunjang.co.kr/product/408767425_1_1779077295_w{res}.jpg,https://m.bunjang.co.kr/products/408767425,2026-05-18 20:31,ps vita 2세대 박스셋 + 게임11개 + 16gb,,,BOX,Y,16.0,SALE,,,,,UNKNOWN
