keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
맥북,번개장터,310865974,맥북 A1708,350000,판매중,,https://media.bunjang.co.kr/product/310865974_1_1736514998_w{res}.jpg,https://m.bunjang.co.kr/products/310865974,2026-05-08 16:26,맥북 a1708,애플,맥북,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,274617406,맥북 a1502,250000,판매중,,https://media.bunjang.co.kr/product/274617406_1_1736528979_w{res}.jpg,https://m.bunjang.co.kr/products/274617406,2026-05-08 16:26,맥북 a1502,애플,맥북,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,245992737,맥북 a1502,250000,판매중,,https://media.bunjang.co.kr/product/245992737_1_1736528992_w{res}.jpg,https://m.bunjang.co.kr/products/245992737,2026-05-08 16:26,맥북 a1502,애플,맥북,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,169623930,맥북 프로 15 mid 2010 구형os 또는 부품용,150000,판매중,,https://media.bunjang.co.kr/product/169623930_1_1666415854_w{res}.jpg,https://m.bunjang.co.kr/products/169623930,2026-05-08 16:26,맥북 프로 15 mid 2010 구형os 또는 부품용,애플,맥북 프로,PARTS,Y,,SALE,,,,,UNKNOWN
맥북,번개장터,335128353,맥북 프로 PRO 15인치 고급형 512GB 16RAM 2016 풀박스,390000,판매중,,https://media.bunjang.co.kr/product/335128353_1_1773269287_w{res}.jpg,https://m.bunjang.co.kr/products/335128353,2026-05-08 16:25,맥북 프로 pro 15인치 고급형 512gb 16ram 2016 스,애플,맥북 프로,laptop,N,512.0,SALE,,,,,UNKNOWN
맥북,번개장터,394600342,[거의새상품] Apple 애플 맥북 프로 14 실버 1테라 (1TB M4,3299000,판매중,,https://media.bunjang.co.kr/product/394600342_1_1778224975_w{res}.jpg,https://m.bunjang.co.kr/products/394600342,2026-05-08 16:22,[거의] apple 애플 맥북 프로 14 실버 1테라 (1tb m4,애플,맥북 프로,laptop,N,,SALE,,,,1024.0,UNKNOWN
맥북,번개장터,406762400,[미개봉] 맥북 네오 실버 새상품,890000,판매중,,https://media.bunjang.co.kr/product/406762400_1_1778224810_w{res}.jpg,https://m.bunjang.co.kr/products/406762400,2026-05-08 16:20,[] 맥북 네오 실버,애플,맥북,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,406761483,[매입]미개봉 LG그램 갤럭시북 맥북 기업용 대량매입 게이밍 노트북,3500000,판매중,,https://media.bunjang.co.kr/product/406761483_1_1778224515_w{res}.jpg,https://m.bunjang.co.kr/products/406761483,2026-05-08 16:15,[매입] lg그램 갤럭시북 맥북 기업용 대량매입 게이밍 노트북,삼성,맥북,smartphone,N,,SALE,,,,,UNKNOWN
맥북,번개장터,406106103,맥북 프로 14 M4pro 1TB 48GB 스페이스 블랙,3150000,판매중,,https://media.bunjang.co.kr/product/406106103_1_1778191397_w{res}.jpg,https://m.bunjang.co.kr/products/406106103,2026-05-08 16:11,맥북 프로 14 m4pro 1tb 48gb 스페이스 블랙,애플,맥북 프로,laptop,N,48.0,SALE,,,,1024.0,UNKNOWN
맥북,번개장터,406636153,맥북 프로14 m4 512gb 16g 배터리 효율 100,1600000,판매중,,https://media.bunjang.co.kr/product/406636153_1_1778205499_w{res}.jpg,https://m.bunjang.co.kr/products/406636153,2026-05-08 16:10,맥북 프로14 m4 512gb 16g 배터리 효율 100,애플,맥북 프로,laptop,N,512.0,SALE,,,,,UNKNOWN
맥북,번개장터,387661004,[매입] 갤럭시북 gram 그램노트북 맥북프로 맥북에어 아이맥 아이패드,1750000,판매중,,https://media.bunjang.co.kr/product/387661004_1_1770446351_w{res}.jpg,https://m.bunjang.co.kr/products/387661004,2026-05-08 16:05,[매입] 갤럭시북 gram 그램노트북 맥북프로 맥북에어 아이맥 아이패드,삼성,맥북 프로,smartphone,N,,SALE,,,,,UNKNOWN
맥북,번개장터,404915087,맥북프로 16인치 2021 M1 Pro 16GB 1TB 스페이스그레,1600000,판매중,,https://media.bunjang.co.kr/product/404915087_1_1778216303_w{res}.jpg,https://m.bunjang.co.kr/products/404915087,2026-05-08 16:05,맥북프로 16인치 2021 m1 pro 16gb 1tb 스페이스그레,애플,맥북 프로,laptop,N,16.0,SALE,,,,1024.0,UNKNOWN
맥북,번개장터,406759175,2020 맥북프로 m1 13인치,550000,판매중,,https://media.bunjang.co.kr/product/406759175_1_1778224717_w{res}.jpg,https://m.bunjang.co.kr/products/406759175,2026-05-08 16:03,2020 맥북프로 m1 13인치,애플,맥북 프로,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,406759019,맥북 에어 M3(10코어) 16 512 + 애케플,1150000,판매중,,https://media.bunjang.co.kr/product/406759019_1_1778223767_w{res}.jpg,https://m.bunjang.co.kr/products/406759019,2026-05-08 16:02,맥북 에어 m3(10코어) 16 512 + 애케플,애플,맥북 에어,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,406589046,맥북프로 13인치 M1 2020(8GB/SSD 512GB/터치바/실버),750000,판매중,,https://media.bunjang.co.kr/product/406589046_1_1778154187_w{res}.jpg,https://m.bunjang.co.kr/products/406589046,2026-05-08 16:00,맥북프로 13인치 m1 2020(8gb/ssd 512gb/터치바/실버),애플,맥북 프로,laptop,N,512.0,SALE,,,,512.0,UNKNOWN
맥북,번개장터,406049541,Apple MacBook Pro 15인치 i9 16gb 512gb,400000,판매중,,https://media.bunjang.co.kr/product/406049541_1_1778114915_w{res}.jpg,https://m.bunjang.co.kr/products/406049541,2026-05-08 16:00,apple macbook pro 15인치 i9 16gb 512gb,애플,,UNKNOWN,N,16.0,SALE,,,,,UNKNOWN
맥북,번개장터,402957375,최고가매입 # 노트북 맥북 갤럭시탭 아이패드 프로 에어 아이맥 컴퓨터,5000000,판매중,,https://media.bunjang.co.kr/product/402957375_1_1776906361_w{res}.jpg,https://m.bunjang.co.kr/products/402957375,2026-05-08 16:00,최고가매입 # 노트북 맥북 갤럭시탭 아이패드 프로 에어 아이맥 컴퓨터,삼성,맥북 프로,smartphone,N,,SALE,,,,,UNKNOWN
맥북,번개장터,333452335,Lg 그램 갤럭시북 고가 매입 맥북 프로 에어 노트북 아이패드 갤럭시탭,2000000,판매중,,https://media.bunjang.co.kr/product/333452335_1_1777609682_w{res}.jpg,https://m.bunjang.co.kr/products/333452335,2026-05-08 16:00,lg 그램 갤럭시북 고가 매입 맥북 프로 에어 노트북 아이패드 갤럭시탭,삼성,맥북 프로,smartphone,N,,SALE,,,,,UNKNOWN
맥북,번개장터,406756895,맥북 에어 M1 스페이스 그레이 13인치 256GB,510000,판매중,,https://media.bunjang.co.kr/product/406756895_1_1778223142_w{res}.jpg,https://m.bunjang.co.kr/products/406756895,2026-05-08 15:52,맥북 에어 m1 스페이스 그레이 13인치 256gb,애플,맥북 에어,laptop,N,256.0,SALE,,,,,UNKNOWN
맥북,번개장터,402110860,애플 맥북 화이트 (Mac OS X) 부품용,89000,판매중,,https://media.bunjang.co.kr/product/402110860_1_1776378977_w{res}.jpg,https://m.bunjang.co.kr/products/402110860,2026-05-08 15:47,애플 맥북 화이트 (mac os x) 부품용,애플,맥북,PARTS,Y,,SALE,,,,,UNKNOWN
맥북,번개장터,404723330,애플 맥북 프로 16 M4 Pro 24GB,2350000,판매중,,https://media.bunjang.co.kr/product/404723330_1_1778223746_w{res}.jpg,https://m.bunjang.co.kr/products/404723330,2026-05-08 15:46,애플 맥북 프로 16 m4 pro 24gb,애플,맥북 프로,laptop,N,24.0,SALE,,,,,UNKNOWN
맥북,번개장터,406755233,맥북 에어 m2 미드나이트블루,900000,판매중,,https://media.bunjang.co.kr/product/406755233_1_1778222638_w{res}.jpg,https://m.bunjang.co.kr/products/406755233,2026-05-08 15:43,맥북 에어 m2 미드나이트블루,애플,맥북 에어,laptop,N,,SALE,,,,,UNKNOWN
맥북,번개장터,406754052,애플 맥북 에어 15 M5 실버 512GB,1850000,판매중,,https://media.bunjang.co.kr/product/406754052_1_1778222273_w{res}.jpg,https://m.bunjang.co.kr/products/406754052,2026-05-08 15:37,애플 맥북 에어 15 m5 실버 512gb,애플,맥북 에어,laptop,N,512.0,SALE,,,,,UNKNOWN
맥북,번개장터,406753024,맥북 에어+트랙패드2    16GB 메모리 * 512GB SSD,950000,판매중,,https://media.bunjang.co.kr/product/406753024_1_1778223349_w{res}.jpg,https://m.bunjang.co.kr/products/406753024,2026-05-08 15:32,맥북 에어+트랙패드2 16gb 메모리 * 512gb ssd,애플,맥북 에어,laptop,N,16.0,SALE,,,,,UNKNOWN
