keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
스팀덱,번개장터,298914175,정품 Steam Deck 에디션(해외한정판),855000,판매중,,https://media.bunjang.co.kr/product/298914175_1_1776522682_w{res}.jpg,https://m.bunjang.co.kr/products/298914175,2026-05-08 16:16,steam deck 에디션(해외한정판),,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406196302,"다용도 가방 캐링백 (닌텐도 스위치, 스팀덱)",18000,판매중,,https://media.bunjang.co.kr/product/406196302_1_1777985800_w{res}.jpg,https://m.bunjang.co.kr/products/406196302,2026-05-08 12:47,"다용도 가방 캐링백 (닌텐도 스위치, 스팀덱)",,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406722605,스팀덱 oled 512+ 256 sd카드,750000,판매중,,https://media.bunjang.co.kr/product/406722605_1_1778211158_w{res}.jpg,https://m.bunjang.co.kr/products/406722605,2026-05-08 12:32,스팀덱 oled 512+ 256 sd카드,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,405191615,4테라 외장 에뮬게임 umpc 리전고 흑갈리 노트북 스팀덱 gpd,250000,판매중,,https://media.bunjang.co.kr/product/405191615_1_1777970575_w{res}.jpg,https://m.bunjang.co.kr/products/405191615,2026-05-08 11:54,4테라 외장 에뮬게임 umpc 리전고 흑갈리 노트북 스팀덱 gpd,,,laptop,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406701257,스팀덱(lcd 256) 본체 + 독 + 컨트롤러 세트,500000,판매중,,https://media.bunjang.co.kr/product/406701257_1_1778202401_w{res}.jpg,https://m.bunjang.co.kr/products/406701257,2026-05-08 10:06,스팀덱(lcd 256) 본체 + 독 + 컨트롤러 세트,,,desktop,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,258935829,2230 ssd 스팀덱 1tb sn740 m2,210000,판매중,,https://media.bunjang.co.kr/product/258935829_1_1775356921_w{res}.jpg,https://m.bunjang.co.kr/products/258935829,2026-05-08 09:08,2230 ssd 스팀덱 1tb sn740 m2,,,UNKNOWN,N,,SALE,,,,1024.0,UNKNOWN
스팀덱,번개장터,334646240,스위치 별빛갤럭시 컨트롤러 / 닌텐도 스팀 PS5,30900,판매중,,https://media.bunjang.co.kr/product/334646240_1_1773971286_w{res}.jpg,https://m.bunjang.co.kr/products/334646240,2026-05-08 00:25,스위치 별빛갤럭시 컨트롤러 / 닌텐도 스팀 ps5,삼성,,smartphone,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406268866,스팀덱 정품 충전기 삽니다(가격 제시),999,판매중,,https://media.bunjang.co.kr/product/406268866_1_1778102454_w{res}.jpg,https://m.bunjang.co.kr/products/406268866,2026-05-08 00:04,스팀덱 충전기 (가격 제시),,,CHARGER,Y,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406534195,스팀 컨트롤러 구매합니다!!!,230000,판매중,,https://media.bunjang.co.kr/product/406534195_1_1778129095_w{res}.jpg,https://m.bunjang.co.kr/products/406534195,2026-05-07 13:44,스팀 컨트롤러 !!!,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406527336,스팀덱 lcd 256GB + nvme 허브,450000,판매중,,https://media.bunjang.co.kr/product/406527336_1_1778207293_w{res}.jpg,https://m.bunjang.co.kr/products/406527336,2026-05-07 13:01,스팀덱 lcd 256gb + nvme 허브,,,UNKNOWN,N,256.0,SALE,,,,,UNKNOWN
스팀덱,번개장터,406488428,Steam deck 스팀덱 256,442000,판매중,,https://media.bunjang.co.kr/product/406488428_1_1778105212_w{res}.jpg,https://m.bunjang.co.kr/products/406488428,2026-05-07 07:06,steam deck 스팀덱 256,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,399678393,스팀덱 LCD 256GB + 256GB sd,460000,판매중,,https://media.bunjang.co.kr/product/399678393_1_1775388952_w{res}.jpg,https://m.bunjang.co.kr/products/399678393,2026-05-06 18:25,스팀덱 lcd 256gb + 256gb sd,,,UNKNOWN,N,256.0,SALE,,,,,UNKNOWN
스팀덱,번개장터,385971866,"스팀 동글 호환 동글 팝니다 (트래커, 인덱컨 연결 가능)",57000,판매중,,https://media.bunjang.co.kr/product/385971866_1_1778072329_w{res}.jpg,https://m.bunjang.co.kr/products/385971866,2026-05-06 16:46,"스팀 동글 호환 동글 (트래커, 인덱컨 연결 가능)",,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,번개장터,406340521,스팀덱 본체 + 케이스 64G,373000,판매중,,https://media.bunjang.co.kr/product/406340521_1_1778050106_w{res}.jpg,https://m.bunjang.co.kr/products/406340521,2026-05-06 15:48,스팀덱 본체 + 케이스 64g,,,CASE,Y,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228378149,스팀덱 OLED 1TB 판매합니다,600000,판매중,,https://img2.joongna.com/media/original/2026/05/08/1778219010882trc_57zXl.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228378149,2026-05-08 16:03,스팀덱 oled 1tb,,,UNKNOWN,N,,SALE,,,,1024.0,UNKNOWN
스팀덱,중고나라,228380694,스팀덱 OLED 1TB / 박스 외 풀,700000,예약중,,https://img2.joongna.com/media/original/2026/05/08/1778223122823QI5_4cdjt.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228380694,2026-05-08 15:55,스팀덱 oled 1tb / 박스 외 풀,,,BOX,Y,,RESERVED,,,,1024.0,UNKNOWN
스팀덱,중고나라,228237568,스팀덱 LCD 64G + 풀커버 케이스,410000,판매중,,https://img2.joongna.com/media/original/2026/05/04/1777879322499k3X_AwqPk.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228237568,2026-05-08 14:40,스팀덱 lcd 64g + 풀커버 케이스,,,CASE,Y,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228373218,스팀덱 oled 512gb + 256gb sd,700000,판매중,,https://img2.joongna.com/media/original/2026/05/08/1778210841903qAd_s9mrx.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228373218,2026-05-08 12:27,스팀덱 oled 512gb + 256gb sd,,,UNKNOWN,N,512.0,SALE,,,,,UNKNOWN
스팀덱,중고나라,228203415,스팀덱 OLED 1테라 구매합니다,650000,판매중,,https://img2.joongna.com/media/original/2026/05/03/1777796241892R2D_DqIgk.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228203415,2026-05-08 12:33,스팀덱 oled 1테라,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228146892,스팀덱 OLED 1TB 판매합니다.,850000,판매중,,https://img2.joongna.com/media/original/2026/05/01/1777641093032cg2_O1HKS.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228146892,2026-05-08 10:26,스팀덱 oled 1tb .,,,UNKNOWN,N,,SALE,,,,1024.0,UNKNOWN
스팀덱,중고나라,228277285,스팀덱 화이트 삽니다 서울,600000,판매중,,https://img2.joongna.com/media/original/2026/05/05/1777972506872rdm_UejdU.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228277285,2026-05-08 10:56,스팀덱 화이트 서울,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228293225,스팀덱 정품 충전기 삽니다(가격제시),999999,판매중,,https://img2.joongna.com/media/original/2026/05/06/1778023221951oIZ_tjZIP.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228293225,2026-05-08 00:07,스팀덱 충전기 (가격제시),,,CHARGER,Y,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228353225,[풀세트] 스팀덱 LCD 512GB + 정품 독 + 스컬앤코 액세서리 포함,380000,예약중,,https://img2.joongna.com/media/original/2026/05/07/1778150991614cuW_fzelA.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228353225,2026-05-07 19:49,[풀세트] 스팀덱 lcd 512gb + 독 + 스컬앤코 액세서리 포함,,,UNKNOWN,N,512.0,RESERVED,,,,,UNKNOWN
스팀덱,중고나라,228352981,스팀덱 oled 512 26년 4월 구매,700000,거래완료,,https://img2.joongna.com/media/original/2026/05/07/1778150582794OFV_EdY5r.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228352981,2026-05-07 19:43,스팀덱 oled 512 26년 4월 구매,,,UNKNOWN,N,,SOLD,,,,,UNKNOWN
스팀덱,중고나라,228350415,스팀덱 1테라 lcd,450000,판매중,,https://img2.joongna.com/media/original/2026/05/07/17781459649323IK_GTk39.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228350415,2026-05-07 18:26,스팀덱 1테라 lcd,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228338761,스팀덱 lcd 256GB + nvme 허브,430000,판매중,,https://img2.joongna.com/media/original/2026/05/07/1778127140221Ocj_iXM8H.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228338761,2026-05-07 13:12,스팀덱 lcd 256gb + nvme 허브,,,UNKNOWN,N,256.0,SALE,,,,,UNKNOWN
스팀덱,중고나라,228335106,JSAUX UMPC 스팀덱 도킹 스테이션 모듈러형,40000,판매중,,https://img2.joongna.com/media/original/2026/05/07/1778120727773Gbx_168Tf.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228335106,2026-05-07 11:25,jsaux umpc 스팀덱 도킹 스테이션 모듈러형,,,desktop,N,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228328745,Steam deck 스팀덱 256 풀박스,415000,판매중,,https://img2.joongna.com/media/original/2026/05/07/1778104540431J5E_E1Thd.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228328745,2026-05-07 06:55,steam deck 스팀덱 256 스,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228181236,스팀덱OLED,720000,예약중,,https://img2.joongna.com/media/original/2026/05/02/1777730091398INw_CrjMf.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228181236,2026-05-07 04:43,스팀덱oled,,,UNKNOWN,N,,RESERVED,,,,,UNKNOWN
스팀덱,중고나라,228320870,sn770m 2tb 2230 ssd 노트북 스팀덱 umpc ssd 국내정발판 판매합니다,350000,판매중,,https://img2.joongna.com/media/original/2026/05/06/1778071580988w8N_2LGtR.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228320870,2026-05-06 21:45,sn770m 2tb 2230 ssd 노트북 스팀덱 umpc ssd 국내정발판,,,laptop,N,,SALE,,,,2048.0,UNKNOWN
스팀덱,중고나라,228265847,스팀덱 OLED 512G,690000,예약중,,https://img2.joongna.com/media/original/2026/05/05/1777953754194Pc7_k18w9.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228265847,2026-05-06 17:39,스팀덱 oled 512g,,,UNKNOWN,N,,RESERVED,,,,,UNKNOWN
스팀덱,중고나라,227475048,스팀덱 LCD 32gb (sn740 2tb 교체) + 사제 독 팝니다,750000,판매중,,https://img2.joongna.com/media/original/2026/04/13/1776087464139yu3_ANie5.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/227475048,2026-05-06 17:04,스팀덱 lcd 32gb (sn740 2tb 교체) + 사제 독,,,UNKNOWN,N,32.0,SALE,,,,2048.0,UNKNOWN
스팀덱,중고나라,227262581,"스팀 동글 호환 동글 팝니다 (트래커, 인덱컨 연결 가능)",27000,판매중,,https://img2.joongna.com/media/original/2026/04/08/1775622648251YTZ_u7vq3.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/227262581,2026-05-06 16:46,"스팀 동글 호환 동글 (트래커, 인덱컨 연결 가능)",,,UNKNOWN,N,,SALE,,,,,UNKNOWN
스팀덱,중고나라,228295685,스팀덱 LCD 1TB,450000,거래완료,,https://img2.joongna.com/media/original/2026/05/06/1778029788417CjQ_bn6Qc.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228295685,2026-05-06 12:42,스팀덱 lcd 1tb,,,UNKNOWN,N,,SOLD,,,,1024.0,UNKNOWN
스팀덱,중고나라,228300562,스팀덱 OLED 1TB,700000,거래완료,,https://img2.joongna.com/media/original/2026/05/06/17780379688713om_f8HNB.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228300562,2026-05-06 12:28,스팀덱 oled 1tb,,,UNKNOWN,N,,SOLD,,,,1024.0,UNKNOWN
