keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
애플워치,번개장터,383828521,애플워치 밀레니즈루프 그래파이트 새제품 44mm,99000,판매중,,https://media.bunjang.co.kr/product/383828521_1_1777086873_w{res}.jpg,https://m.bunjang.co.kr/products/383828521,2026-05-18 20:25,애플워치 밀레니즈루프 그래파이트 새제품 44mm,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,404155265,[새상품]애플워치9 에르메스 실버 스테인리스 45MM 미개봉,1600000,판매중,,https://media.bunjang.co.kr/product/404155265_1_1777197323_w{res}.jpg,https://m.bunjang.co.kr/products/404155265,2026-05-18 20:25,[]애플워치9 에르메스 실버 스테인리스 45mm,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,404994273,애플워치 스트랩 골든컨셉 로얄2 실버 판매,200000,판매중,,https://media.bunjang.co.kr/product/404994273_1_1779103385_w{res}.jpg,https://m.bunjang.co.kr/products/404994273,2026-05-18 20:22,애플워치 스트랩 골든컨셉 로얄2 실버,애플,애플워치,STRAP,Y,,SALE,,,,,UNKNOWN
애플워치,번개장터,359772012,애플워치 41mm용 밴드 스트랩 모음 개별가,3000,판매중,,https://media.bunjang.co.kr/product/359772012_1_1759239185_w{res}.jpg,https://m.bunjang.co.kr/products/359772012,2026-05-18 20:20,애플워치 41mm용 밴드 스트랩 모음 개별가,애플,애플워치,STRAP,Y,,SALE,,,,,UNKNOWN
애플워치,번개장터,408747587,애플워치8스테인리스 45mm 실버 SS급,295000,판매중,,https://media.bunjang.co.kr/product/408747587_1_1779065344_w{res}.jpg,https://m.bunjang.co.kr/products/408747587,2026-05-18 20:20,애플워치8스테인리스 45mm 실버 ss급,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,399682243,Apple 워치 SE3 GPS 미드나이트 44mm,340000,판매중,,https://media.bunjang.co.kr/product/399682243_1_1778920822_w{res}.jpg,https://m.bunjang.co.kr/products/399682243,2026-05-18 20:20,apple 워치 se3 gps 미드나이트 44mm,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,408349157,애플워치 SE2 배터리성능 100% 액정 기스 없음 S급,190000,판매중,,https://media.bunjang.co.kr/product/408349157_1_1778902864_w{res}.jpg,https://m.bunjang.co.kr/products/408349157,2026-05-18 20:19,애플워치 se2 배터리성능 100% 액정 기스 없음 s급,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,408849966,애플워치11 42mm 스페이스그레이 SSS급,435000,판매중,,https://media.bunjang.co.kr/product/408849966_1_1779103172_w{res}.jpg,https://m.bunjang.co.kr/products/408849966,2026-05-18 20:19,애플워치11 42mm 스페이스그레이 sss급,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,408849901,애플워치10에르메스 42mm SSS급,888000,판매중,,https://media.bunjang.co.kr/product/408849901_1_1779103151_w{res}.jpg,https://m.bunjang.co.kr/products/408849901,2026-05-18 20:19,애플워치10에르메스 42mm sss급,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
애플워치,번개장터,408849805,애플워치 울트라2 내추럴 49mm SS급,598000,판매중,,https://media.bunjang.co.kr/product/408849805_1_1779103122_w{res}.jpg,https://m.bunjang.co.kr/products/408849805,2026-05-18 20:18,애플워치 울트라2 내추럴 49mm ss급,애플,애플워치,watch,N,,SALE,,,,,UNKNOWN
