keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
에어팟,번개장터,408851474,애플 에어팟 프로 2세대 c타입 박스O,150000,판매중,,https://media.bunjang.co.kr/product/408851474_1_1779103623_w{res}.jpg,https://m.bunjang.co.kr/products/408851474,2026-05-18 20:27,애플 에어팟 프로 2세대 c타입 박스o,애플,에어팟 프로,BOX,Y,,SALE,,,,,UNKNOWN
에어팟,번개장터,408848876,에어팟프로2c타입판매,128000,판매중,,https://media.bunjang.co.kr/product/408848876_1_1779103478_w{res}.jpg,https://m.bunjang.co.kr/products/408848876,2026-05-18 20:24,에어팟프로2c타입,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,406010462,에어팟 프로 3 (새상품),300000,판매중,,https://media.bunjang.co.kr/product/406010462_1_1777915172_w{res}.jpg,https://m.bunjang.co.kr/products/406010462,2026-05-18 20:22,에어팟 프로 3 (),애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,406061388,에어팟 프로3세대 애플케어팝니다,230000,판매중,,https://media.bunjang.co.kr/product/406061388_1_1778376316_w{res}.jpg,https://m.bunjang.co.kr/products/406061388,2026-05-18 20:20,에어팟 프로3세대 애플케어,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,391515572,쿠로미 에어팟 프로 플러피 케이스 정품,32000,판매중,,https://media.bunjang.co.kr/product/391515572_1_1773023066_w{res}.jpg,https://m.bunjang.co.kr/products/391515572,2026-05-18 20:20,쿠로미 에어팟 프로 플러피 케이스,애플,에어팟 프로,CASE,Y,,SALE,,,,,UNKNOWN
에어팟,번개장터,408810879,에어팟 프로2 8핀 S급,145000,판매중,,https://media.bunjang.co.kr/product/408810879_1_1779096998_w{res}.jpg,https://m.bunjang.co.kr/products/408810879,2026-05-18 20:18,에어팟 프로2 8핀 s급,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,408849589,애플 에어팟 프로 2 USB-C 타입,120000,판매중,,https://media.bunjang.co.kr/product/408849589_1_1779103053_w{res}.jpg,https://m.bunjang.co.kr/products/408849589,2026-05-18 20:17,애플 에어팟 프로 2 usb-c 타입,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,361295452,에어팟프로,90000,판매중,,https://media.bunjang.co.kr/product/361295452_1_1759910909_w{res}.jpg,https://m.bunjang.co.kr/products/361295452,2026-05-18 20:17,에어팟프로,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,408826496,에어팟 프로2,150000,판매중,,https://media.bunjang.co.kr/product/408826496_1_1779097243_w{res}.jpg,https://m.bunjang.co.kr/products/408826496,2026-05-18 20:16,에어팟 프로2,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,361940520,에어팟 프로2 c타입,165000,판매중,,https://media.bunjang.co.kr/product/361940520_1_1777950325_w{res}.jpg,https://m.bunjang.co.kr/products/361940520,2026-05-18 20:15,에어팟 프로2 c타입,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,399801321,[미개봉 새상품] 애플 에어팟 맥스 실버 정품 풀박스 팝니다!,494000,판매중,,https://media.bunjang.co.kr/product/399801321_1_1775450957_w{res}.jpg,https://m.bunjang.co.kr/products/399801321,2026-05-18 20:15,[ ] 애플 에어팟 맥스 실버 스 !,애플,에어팟 맥스,earphone,N,,SALE,,,,,UNKNOWN
에어팟,번개장터,404621799,에어팟 프로2 c타입,140000,판매중,,https://media.bunjang.co.kr/product/404621799_1_1777986403_w{res}.jpg,https://m.bunjang.co.kr/products/404621799,2026-05-18 20:15,에어팟 프로2 c타입,애플,에어팟 프로,earphone,N,,SALE,,,,,UNKNOWN
