keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
의자,번개장터,362760663,이케아 테오도라스 의자 (배송까지 해드려요),27000,판매중,,https://media.bunjang.co.kr/product/362760663_1_1777636109_w{res}.jpg,https://m.bunjang.co.kr/products/362760663,2026-05-18 20:37,이케아 테오도라스 의자 (배송까지 해드려요),,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,306643442,인형 의자 2개,2000,판매중,,https://media.bunjang.co.kr/product/306643442_1_1772446756_w{res}.jpg,https://m.bunjang.co.kr/products/306643442,2026-05-18 20:37,인형 의자 2개,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,281038749,원목빠텐의자/원목빠의자/바의자/빠텐의자,60000,판매중,,https://media.bunjang.co.kr/product/281038749_1_1765196499_w{res}.jpg,https://m.bunjang.co.kr/products/281038749,2026-05-18 20:33,원목빠텐의자/원목빠의자/바의자/빠텐의자,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,270992572,업소용테이블 업소용의자 2인테이블세트 4인테이블세트,60000,판매중,,https://media.bunjang.co.kr/product/270992572_1_1750129118_w{res}.jpg,https://m.bunjang.co.kr/products/270992572,2026-05-18 20:33,업소용테이블 업소용의자 2인테이블세트 4인테이블세트,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,390803786,2인 테이블과 의자 판매합니다,375000,판매중,,https://media.bunjang.co.kr/product/390803786_1_1777413418_w{res}.jpg,https://m.bunjang.co.kr/products/390803786,2026-05-18 20:27,2인 테이블과 의자,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,380004852,이케아 TOBIAS 토비아스 의자,85000,판매중,,https://media.bunjang.co.kr/product/380004852_1_1768050432_w{res}.jpg,https://m.bunjang.co.kr/products/380004852,2026-05-18 20:25,이케아 tobias 토비아스 의자,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,377859443,(올리폼) k-킹덤 게이밍 의자 / pc방의자 / 게이밍의자,99900,판매중,,https://media.bunjang.co.kr/product/377859443_1_1772608895_w{res}.jpg,https://m.bunjang.co.kr/products/377859443,2026-05-18 20:24,(올리폼) k-킹덤 게이밍 의자 / pc방의자 / 게이밍의자,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,379092091,퀵배송 접이식 프리미엄 경량 전동스쿠터 노인 어르신 장애인용 전동휠체어,1160000,판매중,,https://media.bunjang.co.kr/product/379092091_1_1778382799_w{res}.jpg,https://m.bunjang.co.kr/products/379092091,2026-05-18 20:22,퀵배송 접이식 프리미엄 경량 전동스쿠터 노인 어르신 장애인용 전동휠체어,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
의자,번개장터,223007893,휠체어 계단 리프트,1080000,판매중,,https://media.bunjang.co.kr/product/223007893_1_1683334191_w{res}.jpg,https://m.bunjang.co.kr/products/223007893,2026-05-18 20:20,휠체어 계단 리프트,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
의자,번개장터,368992263,창고 정리중고pc방의자 재고문의 택배불가,50000,판매중,,https://media.bunjang.co.kr/product/368992263_1_1778791208_w{res}.jpg,https://m.bunjang.co.kr/products/368992263,2026-05-18 20:17,창고 정리중고pc방의자 재고문의 불가,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,392892899,일택포) 비바펫 강아지 4륜 보행기 휠체어,182000,판매중,,https://media.bunjang.co.kr/product/392892899_1_1773462196_w{res}.jpg,https://m.bunjang.co.kr/products/392892899,2026-05-18 20:11,일) 비바펫 강아지 4륜 보행기 휠체어,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
의자,번개장터,325004278,스타벅스 체어 오렌지 (미사용),25000,판매중,,https://media.bunjang.co.kr/product/325004278_1_1771486577_w{res}.jpg,https://m.bunjang.co.kr/products/325004278,2026-05-18 20:05,스타벅스 체어 오렌지 (미사용),,,UNKNOWN,N,,SALE,,,,,UNKNOWN
의자,번개장터,268239334,동양매직 안마의자,100000,판매중,,https://media.bunjang.co.kr/product/268239334_1_1774784385_w{res}.jpg,https://m.bunjang.co.kr/products/268239334,2026-05-18 20:05,동양매직 안마의자,,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,408846727,콜맨 캠핑 의자 (컴포트마스터 캔버스 슬링체어),150000,판매중,,https://media.bunjang.co.kr/product/408846727_1_1779102186_w{res}.jpg,https://m.bunjang.co.kr/products/408846727,2026-05-18 20:02,콜맨 캠핑 의자 (컴포트마스터 캔버스 슬링체어),,,FURNITURE,Y,,SALE,,,,,UNKNOWN
의자,번개장터,291209719,듀오백 브라보 200m,220000,판매중,,https://media.bunjang.co.kr/product/291209719_1_1778355411_w{res}.jpg,https://m.bunjang.co.kr/products/291209719,2026-05-18 20:02,듀오백 브라보 200m,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
