keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb,trade_status,cpu_name,gpu_name,ram_gb,ssd_gb,performance_level
캠핑,번개장터,295856990,미니멀웍스 쉘터g,350000,판매중,,https://media.bunjang.co.kr/product/295856990_1_1779103752_w{res}.jpg,https://m.bunjang.co.kr/products/295856990,2026-05-18 20:31,미니멀웍스 쉘터g,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,322192279,코베아 위글위글 구이바다 M,400000,판매중,,https://media.bunjang.co.kr/product/322192279_1_1772711109_w{res}.jpg,https://m.bunjang.co.kr/products/322192279,2026-05-18 20:28,코베아 위글위글 구이바다 m,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,345842175,글로우스틱 야광봉 새제품,30000,판매중,,https://media.bunjang.co.kr/product/345842175_1_1756359328_w{res}.jpg,https://m.bunjang.co.kr/products/345842175,2026-05-18 20:27,글로우스틱 야광봉 새제품,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,401529533,바베큐 / 조리 도구 세트 / 캠핑용품,20000,판매중,,https://media.bunjang.co.kr/product/401529533_1_1776148533_w{res}.jpg,https://m.bunjang.co.kr/products/401529533,2026-05-18 20:23,바베큐 / 조리 도구 세트 / 캠핑용품,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,339849046,티셀 gmt 팹시 다이얼,195000,판매중,,https://media.bunjang.co.kr/product/339849046_1_1750138690_w{res}.jpg,https://m.bunjang.co.kr/products/339849046,2026-05-18 20:16,티셀 gmt 팹시 다이얼,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,85372857,SCJ)캠핑석쇠*새상품*,1820,판매중,,https://media.bunjang.co.kr/product/85372857_1_1534431644_w{res}.jpg,https://m.bunjang.co.kr/products/85372857,2026-05-18 20:12,scj)캠핑석쇠**,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,324457983,감성 캠핑 랜턴 조명,19000,판매중,,https://media.bunjang.co.kr/product/324457983_1_1769029817_w{res}.jpg,https://m.bunjang.co.kr/products/324457983,2026-05-18 20:11,감성 캠핑 랜턴 조명,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,398191976,[급처]몽벨 스텔라릿지 스노우플라이 2인 새상품,190000,판매중,,https://media.bunjang.co.kr/product/398191976_1_1778592174_w{res}.jpg,https://m.bunjang.co.kr/products/398191976,2026-05-18 20:07,[]몽벨 스텔라릿지 스노우플라이 2인,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,198745694,남자 윈드쉴드 밀리터리 야상 바람막이 윈드브레이커 자파리 아우터 캠핑점퍼,65000,판매중,,https://media.bunjang.co.kr/product/198745694_1_1662822760_w{res}.jpg,https://m.bunjang.co.kr/products/198745694,2026-05-18 20:04,남자 윈드쉴드 밀리터리 야상 바람막이 윈드브레이커 자파리 아우터 캠핑점퍼,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,408846727,콜맨 캠핑 의자 (컴포트마스터 캔버스 슬링체어),150000,판매중,,https://media.bunjang.co.kr/product/408846727_1_1779102186_w{res}.jpg,https://m.bunjang.co.kr/products/408846727,2026-05-18 20:02,콜맨 캠핑 의자 (컴포트마스터 캔버스 슬링체어),,,FURNITURE,Y,,SALE,,,,,UNKNOWN
캠핑,번개장터,396025736,미스터본 캠핑 시리즈 2개 일괄,89000,판매중,,https://media.bunjang.co.kr/product/396025736_1_1778921911_w{res}.jpg,https://m.bunjang.co.kr/products/396025736,2026-05-18 20:00,미스터본 캠핑 시리즈 2개 일괄,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,394896703,이와타니 CB-7 휴대용가스히터 포터블히터 미니히터 캠핑 낚시 글램핑 차,200000,판매중,,https://media.bunjang.co.kr/product/394896703_1_1773383000_w{res}.jpg,https://m.bunjang.co.kr/products/394896703,2026-05-18 20:00,이와타니 cb-7 휴대용가스히터 포터블히터 미니히터 캠핑 낚시 글램핑 차,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,394896207,유니프레임 웜2 가스히터 휴대용가스히터 포터블 히터 캠핑 낚시 글램핑,250000,판매중,,https://media.bunjang.co.kr/product/394896207_1_1773382830_w{res}.jpg,https://m.bunjang.co.kr/products/394896207,2026-05-18 20:00,유니프레임 웜2 가스히터 휴대용가스히터 포터블 히터 캠핑 낚시 글램핑,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
캠핑,번개장터,394895964,일본 휴대용 미니가스버너 포터블 가스버너 캠핑 글램핑,150000,판매중,,https://media.bunjang.co.kr/product/394895964_1_1773382747_w{res}.jpg,https://m.bunjang.co.kr/products/394895964,2026-05-18 20:00,일본 휴대용 미니가스버너 포터블 가스버너 캠핑 글램핑,,,UNKNOWN,N,,SALE,,,,,UNKNOWN
